report_id,study_id,study_id_clean,result_id,author,year,country,region,design,setting,diagnosis,diagnostic_tool,n_total,pct_male,mean_age,sd_age,follow_up_months,timepoint_months,effect_type,outcome_domain,outcome_measure,outcome_definition,outcome_basis,events,n_assessed,events_intervention,n_intervention,events_control,n_control,intervention_name,comparator,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,quality_tool,quality_rating,page_source,extractor,checker,notes,author_key,year_online,study_key,study_label,events_raw,n_assessed_raw,timepoint_months_raw,events_intervention_raw,events_control_raw,n_control_raw
1,ABDELBAKI_002,ABDELBAKI_2013,ABDELBAKI_2013__proportion__competitive_employment__12m,Abdel-Baki,2013,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,97,78.3,23.5,NA,60,12,proportion,employment,Competitive employment,Paid employment /occupation at 12 months,point,55,97,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.5670000000000001,NA,NA,,EPHPP,Weak,p.3 Figure 3,YN,HZ,,ABDELBAKI,2013,ABDELBAKI_2013,Abdel-Baki 2013,55,97,12,NA,NA,NA
2,ANDERSEN_001,ANDERSEN_2024,ANDERSEN_2024__proportion__competitive_employment__12m,Andersen,2024,Australia,Oceania,Cohort,Outpatient,FEP,CAARMS,1574,66.7,19.8,2.8,12,12,proportion,employment,Competitive employment,Working in a job (part-time or full-time) at the time of assessment,point,205,578,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.355,NA,NA,,EPHPP,Weak,p.6 Table 2,YN,HZ,,ANDERSEN,2024,ANDERSEN_2024,Andersen 2024,205,578,12,NA,NA,NA
3,CHUA_001,CHUA_2019,CHUA_2019__proportion__meaningful_employment__24m,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,proportion,employment,Meaningful employment,Gainfully employed or engaged in an age-appropriate role at 24-month endpoint,point,829,1177,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.704,NA,NA,,EPHPP,Moderate,p.3 Results,YN,HZ,,CHUA,2019,CHUA_2019,Chua 2019,829,1177,24,NA,NA,NA
4,CRAIG_001,CRAIG_2014,CRAIG_2014__proportion__open_employment__12m,Craig,2014,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis,159,73,24,4.5,12,12,proportion,employment,Open employment,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,point,41,134,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.258,NA,NA,,EPHPP,Moderate,p.4 Table 2,YN,HZ,,CRAIG,2014,CRAIG_2014,Craig 2014,41,159,12,NA,NA,NA
5,CRAIG_002,CRAIG_2014,CRAIG_2014__trial_binary__open_employment__12m,Craig,2014,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis,159,73,24,4.5,12,12,trial_binary,employment,Open employment,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,point,NA,NA,29,68,12,66,IPS + Motivational Interviewing (MI),IPS,NA,NA,,NA,NA,NA,,NA,NA,NA,RR,2.3899999999999997,1.5,16.6,p < 0.05,EPHPP,Moderate,p.4 Table 2 and Results,YN,HZ,,CRAIG,2014,CRAIG_2014,Craig 2014,NA,NA,12,29,12,66
6,DUDLEY_001,DUDLEY_2014,DUDLEY_2014__proportion__any_paid_employment__12m,Dudley,2014,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,194,73.5,24.8,5.2,12,12,proportion,employment,Any paid employment,Full-time or part-time employment at 12-month follow-up,point,30,194,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.15500000000000003,NA,NA,,EPHPP,Moderate,p.4 Table 2,YN,HZ,,DUDLEY,2013,DUDLEY_2013,Dudley 2014,30,194,12,NA,NA,NA
7,DUDLEY_002,DUDLEY_2014,DUDLEY_2014__trial_binary__any_paid_employment__12m,Dudley,2014,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,194,73.5,24.8,5.2,12,12,trial_binary,employment,Any paid employment,Full-time or part-time employment at 12-month follow-up,point,NA,NA,18,104,12,90,IPS + EIP,EIP,NA,NA,,NA,NA,NA,,NA,NA,NA,RR,1.3,NA,NA,,EPHPP,Moderate,p.4 Results,YN,HZ,,DUDLEY,2013,DUDLEY_2013,Dudley 2014,NA,NA,12,18,12,90
8,EACK_001,EACK_2011,EACK_2011__proportion__competitive_employment__24m,Eack,2011,USA,North America,RCT,Outpatient,FES,SCID,58,69,25.919999999999998,6.31,24,24,proportion,employment,Competitive employment,Paid competitive employment at 24-month follow-up (end of treatment),point,17,46,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.261,NA,NA,,EPHPP,Strong,p.16 Table 1,YN,HZ,,EACK,2011,EACK_2011,Eack 2011,12,46,24,NA,NA,NA
9,EACK_002,EACK_2011,EACK_2011__trial_binary__competitive_employment__24m,Eack,2011,USA,North America,RCT,Outpatient,FES,SCID,58,69,25.919999999999998,6.31,24,24,trial_binary,employment,Competitive employment,Paid competitive employment at 24-month follow-up,point,NA,NA,13,24,4,22,Cognitive Enhancement Therapy (CET),Enriched Supportive Therapy (EST),NA,NA,,NA,NA,NA,,NA,NA,NA,RR,2.75,NA,NA,,EPHPP,Strong,p.16 Table 1,YN,HZ,,EACK,2011,EACK_2011,Eack 2011,NA,NA,24,9,3,22
10,ERICKSON_001,ERICKSON_2021,ERICKSON_2021__proportion__competitive_employment__12m,Erickson,2021,Canada,North America,RCT,Outpatient,FEP,Clinical records (BPRS used for symptom severity),109,82.6,23.05,3.4,12,12,proportion,employment,Competitive employment,Any competitive paid work during the 6_12 month follow-up period (at least 1 day),period,59,97,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.608,NA,NA,,EPHPP,Strong,p.5 Table 2,YN,HZ,,ERICKSON,2021,ERICKSON_2021,Erickson 2021,59,97,12,NA,NA,NA
