study_id_clean,effect_type,computed,reported,tolerance,difference,flag
ABDELBAKI_2013,proportion,0.5670103092783505,0.5670000000000001,0.01,1.0309278350439932e-5,FALSE
ANDERSEN_2024,proportion,0.3546712802768166,0.355,0.01,-3.287197231833794e-4,FALSE
CHUA_2019,proportion,0.7043330501274426,0.704,0.01,3.3305012744266893e-4,FALSE
CRAIG_2014,proportion,0.30597014925373134,0.258,0.01,0.04797014925373133,TRUE
DUDLEY_2014,proportion,0.15463917525773196,0.15500000000000003,0.01,-3.6082474226806216e-4,FALSE
EACK_2011,proportion,0.3695652173913043,0.261,0.01,0.10856521739130431,TRUE
ERICKSON_2021,proportion,0.6082474226804123,0.608,0.01,2.4742268041233473e-4,FALSE
FOWLER_2019,proportion,0.11363636363636363,0.114,0.01,-3.6363636363637153e-4,FALSE
HEGELSTAD_2019,proportion,0.2807017543859649,0.267,0.01,0.013701754385964882,TRUE
HUMENSKY_2017,proportion,0.27906976744186046,0.27,0.01,0.009069767441860443,FALSE
KILLACKEY_2008,proportion,0.36585365853658536,0.366,0.01,-1.4634146341463428e-4,FALSE
KILLACKEY_2019,proportion,0.6031746031746031,0.603,0.01,1.7460317460316066e-4,FALSE
LIN_2026,proportion,0.425,0.42000000000000004,0.01,0.004999999999999949,FALSE
MAJOR_2010,proportion,0.2543859649122807,0.254,0.01,3.8596491228071184e-4,FALSE
NUECHTERLEIN_2020,proportion,0.5882352941176471,0.588,0.01,2.3529411764711128e-4,FALSE
POTHIER_2019,proportion,0.4074074074074074,0.40700000000000003,0.01,4.0740740740735637e-4,FALSE
RINALDI_2004,proportion,0.4090909090909091,0.40900000000000003,0.01,9.090909090908594e-5,FALSE
RINALDI_2010,proportion,0.43661971830985913,0.43700000000000006,0.01,-3.802816901409267e-4,FALSE
ROSENHECK_2017,proportion,0.22695035460992907,0.227,0.01,-4.9645390070934825e-5,FALSE
TAPFUMANEYI_2015,proportion,0.20829220138203355,0.20800000000000002,0.01,2.9220138203353563e-4,FALSE
TURNER_2019,proportion,0.6176470588235294,0.618,0.01,-3.529411764705559e-4,FALSE
VANDUIN_2021,proportion,0.44642857142857145,0.446,0.01,4.285714285714448e-4,FALSE
WILLIAMS_2016,proportion,0.18181818181818182,0.182,0.01,-1.818181818181719e-4,FALSE
CRAIG_2014,trial_binary,2.3455882352941173,2.3899999999999997,0.02,-0.04441176470588237,TRUE
DUDLEY_2014,trial_binary,1.2980769230769231,1.3,0.02,-0.0019230769230769162,FALSE
EACK_2011,trial_binary,2.9791666666666665,2.75,0.02,0.22916666666666652,TRUE
ERICKSON_2021,trial_binary,1.446808510638298,1.45,0.02,-0.0031914893617019935,FALSE
FOWLER_2019,trial_binary,Inf,13.15,0.02,Inf,TRUE
HEGELSTAD_2019,trial_binary,6.300000000000001,7,0.02,-0.6999999999999993,TRUE
KILLACKEY_2008,trial_binary,6.825,6.84,0.02,-0.01499999999999968,FALSE
KILLACKEY_2019,trial_binary,1.4733542319749218,1.47,0.02,0.0033542319749217953,FALSE
MAJOR_2010,trial_binary,1.9580419580419581,1.96,0.02,-0.001958041958041834,FALSE
NUECHTERLEIN_2020,trial_binary,2.0833333333333335,2.08,0.02,0.0033333333333334103,FALSE
ROSENHECK_2017,trial_binary,0.8234126984126985,0.8200000000000001,0.02,0.0034126984126984228,FALSE
VANDUIN_2021,trial_binary,2.3940886699507393,2.4,0.02,-0.005911330049260588,FALSE
