study_id_clean,study_label,author,year,year_online,country,region,design,diagnosis,n_total,pct_male,mean_age,timepoint_months,follow_up_months,outcome_basis,outcome_measure,outcome_definition,definition_class,population_fep,overlapping_cohort,events,n_assessed,attrition,vocational_exposure,exposure_verified,quality_rating,in_primary_set,in_point_relaxed_set,in_period_set,in_legacy_set,events_raw,n_assessed_raw,timepoint_months_raw,reported_es,notes,report_id,result_id,conflict_grade,a24_strict_eligible,a33_eligible,a33_duration_sens_only,construct_verified,usable_point,usable_period,window_status,variable_window,baseline_selected,construct_reason,in_window,point_measure_ok,period_measure_ok,in_a33_point_primary,in_a33_point_duration_sens,in_a33_period,in_a33_variable_window,in_strict_a24_point,membership_reason
ABDELBAKI_2013,Abdel-Baki 2013,Abdel-Baki,2013,2013,Canada,North America,Cohort,FEP,97,78.3,23.5,12,60,point,Competitive employment,Full-time or part-time employment at 12 months (Figure 2); education and homemaking excluded,competitive_or_paid,TRUE,FALSE,40,91,0,NA,no,Weak,TRUE,TRUE,FALSE,TRUE,55,97,12,0.5670000000000001,NA,1,ABDELBAKI_2013__proportion__competitive_employment__12m,definite,FALSE,TRUE,FALSE,Full-time or part-time employment at 12 months (employment only),TRUE,FALSE,fixed 12 months,FALSE,FALSE,Employment-only row enters via C17 to C19; numerator reconstructed from the printed percentage (flag: reconstructed); the productive-occupation composite (52/91) is not used,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A33 point-prevalence primary set
ANDERSEN_2024,Andersen 2024,Andersen,2024,2024,Australia,Oceania,Cohort,FEP,1574,66.7,19.8,12,12,point,Competitive employment,Working in a job (part-time or full-time) at the time of assessment,competitive_or_paid,TRUE,FALSE,205,578,0.6327827191867852,NA,no,Weak,TRUE,TRUE,FALSE,TRUE,205,578,12,0.355,NA,2,ANDERSEN_2024__proportion__competitive_employment__12m,possible,FALSE,TRUE,FALSE,Any employment (paid) at 12 months,TRUE,FALSE,fixed 12 months,FALSE,FALSE,Derived sum numerator noted in the audit; construct is paid employment,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A33 point-prevalence primary set
CHUA_2019,Chua 2019,Chua,2019,2019,Singapore,Asia,Cohort,FEP,1177,49.2,27.5,24,24,point,Meaningful employment,Gainfully employed or engaged in an age-appropriate role at 24-month endpoint,composite,TRUE,FALSE,829,1177,0,NA,no,Moderate,FALSE,TRUE,FALSE,TRUE,829,1177,24,0.704,NA,3,CHUA_2019__proportion__meaningful_employment__24m,definite,FALSE,TRUE,FALSE,Composite (employment or student or homemaker),FALSE,FALSE,fixed 24 months,FALSE,FALSE,Composite includes students and homemakers; excluded from the paid-employment construct (A25),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No usable employment count: Composite includes students and homemakers; excluded from the paid-employment construct (A25)
CRAIG_2014,Craig 2014,Craig,2014,2014,UK,Europe,RCT,FEP,159,73,24,12,12,point,Open employment,"In open (paid, mainstream) employment on the day of the 12-month interview (26 of 68 intervention plus 10 of 66 control)",competitive_or_paid,TRUE,FALSE,36,134,0.1572327044025157,all,yes,Moderate,TRUE,TRUE,FALSE,TRUE,41,159,12,0.258,NA,4,CRAIG_2014__proportion__open_employment__12m,possible,FALSE,TRUE,FALSE,In open employment on the day of the 12-month interview,TRUE,FALSE,fixed 12 months,FALSE,FALSE,Point measure enters via C15 and C16; the cumulative 41/134 is a period measure,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A33 point-prevalence primary set
DUDLEY_2014,Dudley 2014,Dudley,2014,2013,UK,Europe,Cohort,FEP,194,73.5,24.8,12,12,point,Any paid employment,Full-time or part-time employment at 12-month follow-up,competitive_or_paid,TRUE,FALSE,30,194,0,part,yes,Moderate,TRUE,TRUE,FALSE,TRUE,30,194,12,0.15500000000000003,NA,6,DUDLEY_2014__proportion__any_paid_employment__12m,possible,FALSE,TRUE,FALSE,Any employment at 12 months of service time,TRUE,FALSE,fixed 12 months (service time),FALSE,FALSE,Time is service time rather than individual follow-up time (audit flag); retained with the flag,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A33 point-prevalence primary set
EACK_2011,Eack 2011,Eack,2011,2011,USA,North America,RCT,FES,58,69,25.92,24,24,point,Competitive employment,Paid competitive employment at 24-month follow-up (end of treatment),competitive_or_paid,TRUE,FALSE,17,46,0.2068965517241379,none,yes,Strong,TRUE,TRUE,FALSE,TRUE,12,46,24,0.261,NA,8,EACK_2011__proportion__competitive_employment__24m,definite,FALSE,FALSE,TRUE,Competitive employment at 24 months (end of treatment),TRUE,FALSE,fixed 24 months,FALSE,FALSE,Construct and window compatible; population enters the A33 duration sensitivity only (onset within eight years permitted),TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A33 duration sensitivity only (population duration criterion exceeds five years)
ERICKSON_2021,Erickson 2021,Erickson,2021,2021,Canada,North America,RCT,FEP,109,82.6,23.05,12,12,period,Competitive employment,Any competitive paid work during the 6_12 month follow-up period (at least 1 day),competitive_or_paid,TRUE,FALSE,59,97,0.11009174311926606,part,yes,Strong,FALSE,FALSE,TRUE,TRUE,59,97,12,0.608,NA,10,ERICKSON_2021__proportion__competitive_employment__12m,definite,FALSE,TRUE,FALSE,Any competitive paid work during a six-month interval,FALSE,TRUE,period,FALSE,FALSE,Period measure; prevalence period set keeps the months 6 to 12 whole-sample row (interval ending nearest 12 months); the trial rows use months 0 to 6 (C20 to C25),TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Period measure: A33 period set only
FOWLER_2019,Fowler 2019,Fowler,2019,2019,UK,Europe,RCT,FEP,77,NA,25,24,24,period,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),competitive_or_paid,TRUE,FALSE,5,44,0.4285714285714286,none,yes,Strong,FALSE,FALSE,TRUE,TRUE,5,44,24,0.114,NA,12,FOWLER_2019__proportion__paid_work__24m,definite,FALSE,TRUE,FALSE,Paid employment during a 12-month interval (months 9 to 21),FALSE,TRUE,period,FALSE,FALSE,Period measure; under A33 the whole sample (affective and non-affective) is population-eligible but the extracted row is the non-affective subgroup; retained as extracted with the subgroup flag,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Period measure: A33 period set only
HEGELSTAD_2019,Hegelstad 2019,Hegelstad,2019,2018,Norway,Europe,Cohort,FEP,66,45.5,21.5,12,12,point,Competitive employment,Competitive employment >20h/wk at 1-year follow-up,competitive_or_paid,TRUE,FALSE,16,57,0.13636363636363635,part,yes,Strong,TRUE,TRUE,FALSE,TRUE,16,60,12,0.267,NA,14,HEGELSTAD_2019__proportion__competitive_employment__12m,definite,FALSE,TRUE,FALSE,Competitive employment at 12 months,TRUE,FALSE,fixed 12 months,FALSE,FALSE,Available-case 16 of 57 (C05),TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A33 point-prevalence primary set
HUMENSKY_2017,Humensky 2017,Humensky,2017,2017,USA,North America,Cohort,FEP,65,65,22.3,12,24,period,Work only,Working but not in school at 12-month follow-up,competitive_or_paid,TRUE,FALSE,12,43,0.3384615384615385,all,no,Weak,FALSE,FALSE,TRUE,TRUE,12,43,12,0.27,NA,16,HUMENSKY_2017__proportion__work_only__12m,possible,FALSE,TRUE,FALSE,Work-or-school percentages only (Figure 2),FALSE,FALSE,period,FALSE,FALSE,No counts recoverable from the report; no usable prevalence row,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No usable employment count: No counts recoverable from the report; no usable prevalence row
