study_id_clean,study_label,design,timepoint_months,follow_up_months,outcome_basis,outcome_measure,outcome_definition,intervention_name,comparator,events_intervention,n_intervention,events_control,n_control,n_intervention_full,n_control_full,denominator_source,analysis_set,comparison_type,rr_computed,events_intervention_raw,events_control_raw,n_control_raw,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,quality_rating,notes,report_id,result_id
CRAIG_2014,Craig 2014,RCT,12,12,point,Open employment,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,IPS + Motivational Interviewing (MI),IPS,29,68,12,66,NA,NA,NA,excluded_addon,IPS plus adjunct vs IPS (RCT; add-on question),2.3455882352941173,29,12,66,RR,2.3899999999999997,1.5,16.6,p < 0.05,Moderate,,5,CRAIG_2014__trial_binary__open_employment__12m
DUDLEY_2014,Dudley 2014,Cohort,12,12,point,Any paid employment,Full-time or part-time employment at 12-month follow-up,IPS + EIP,EIP,18,104,12,90,NA,NA,NA,other_comparison,Non-randomised comparison,1.2980769230769231,18,12,90,RR,1.3,NA,NA,,Moderate,,7,DUDLEY_2014__trial_binary__any_paid_employment__12m
EACK_2011,Eack 2011,RCT,24,24,point,Competitive employment,Paid competitive employment at 24-month follow-up,Cognitive Enhancement Therapy (CET),Enriched Supportive Therapy (EST),13,24,4,22,NA,NA,NA,non_vocational_rct,Non-vocational intervention RCT,2.9791666666666665,9,3,22,RR,2.75,NA,NA,,Strong,,9,EACK_2011__trial_binary__competitive_employment__24m
ERICKSON_2021,Erickson 2021,RCT,12,12,period,Competitive employment,Any competitive paid work during the 6_12 month follow-up period,IPS + TAU,TAU,34,47,25,50,56,53,"randomised (Erickson 2021, Table 1)",primary,IPS added to TAU vs TAU (RCT),1.446808510638298,34,25,50,RR,1.45,NA,NA,,Strong,"Denominators 47 and 50 reconstructed from the printed counts and percentages (34, 72.3%; 25, 50.0%) in Table 2; randomised 56 vs 53",11,ERICKSON_2021__trial_binary__competitive_employment__12m
FOWLER_2019,Fowler 2019,RCT,24,24,period,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),SRT + TAU,TAU,5,20,0,24,NA,NA,NA,non_vocational_rct,Non-vocational intervention RCT,Inf,5,0,24,RR,13.15,NA,NA,0.03,Strong,Non-affective subgroup of the ISREP 24-month follow-up (77 randomised),13,FOWLER_2019__trial_binary__paid_work__24m
HEGELSTAD_2019,Hegelstad 2019,Cohort,12,12,point,Competitive employment,Competitive employment >20h/wk at 1-year follow-up,Job- and SchoolPrescription (IPS adaptation),Generic employment/educational services,14,30,2,27,30,30,matched groups remaining at 1 year (Hegelstad 2019),other_comparison,Non-randomised comparison,6.300000000000001,14,2,30,RR,7,NA,NA,,Strong,,15,HEGELSTAD_2019__trial_binary__competitive_employment__12m
KILLACKEY_2008,Killackey 2008,RCT,6,6,period,Competitive employment,Obtained competitive employment during 6-month follow-up period,IPS + TAU,TAU,13,20,2,21,20,21,randomised; all 41 followed (Killackey 2008),primary,IPS added to TAU vs TAU (RCT),6.825,13,2,21,RR,6.84,NA,NA,p<0.001,Strong,,18,KILLACKEY_2008__trial_binary__competitive_employment__6m
KILLACKEY_2019,Killackey 2019,RCT,6,18,period,Competitive employment,Worked at least 1 day in paid employment during 0_6 month follow-up period,IPS + TAU,TAU,47,66,29,60,73,73,"randomised 1:1 (Killackey 2019, Methods)",primary,IPS added to TAU vs TAU (RCT),1.4733542319749218,47,29,60,RR,1.47,1.09,1.99,0.025,Strong,,20,KILLACKEY_2019__trial_binary__competitive_employment__6m
MAJOR_2010,Major 2010,Cohort,12,12,period,Competitive employment,Gained or returned to competitive employment at any point during the 12-month follow-up period,VIBE (Specialist vocational intervention),TAU (EIS without VIBE),16,44,13,70,NA,NA,NA,other_comparison,Non-randomised comparison,1.9580419580419581,16,13,70,RR,1.96,1.04,3.68,,Strong,,23,MAJOR_2010__trial_binary__competitive_employment__12m
NUECHTERLEIN_2020,Nuechterlein 2020,RCT,18,18,period,Competitive employment,Competitive employment during at least part of the 7_18 month period,IPS + WFM,BVR + social skills training,25,36,5,15,46,23,randomised (Nuechterlein 2020),sensitivity_k4,"IPS plus WFM vs BVR plus SST (RCT, active vocational comparator)",2.0833333333333335,25,5,15,RR,2.08,NA,NA,0.02,Strong,"Competitive employment during months 7 to 18, available case (36 of 41 and 15 of 22 with outcome data); randomised 46 vs 23",25,NUECHTERLEIN_2020__trial_binary__competitive_employment__18m
ROSENHECK_2017,Rosenheck 2017,Cohort,24,24,point,Any participation in work,Any paid employment at 24-month follow-up,NAVIGATE,Community Care,30,144,21,83,NA,NA,NA,other_comparison,NAVIGATE vs community care (cluster-randomised RAISE-ETP),0.8234126984126985,30,21,83,RR,0.8200000000000001,NA,NA,,Strong,,30,ROSENHECK_2017__trial_binary__any_participation_in_work__24m
VANDUIN_2021,van Duin 2021,RCT,18,18,point,Competitive employment,In competitive employment at 18-month follow-up,IPS + Cognitive Remediation (CR),IPS + control (computer games),18,29,7,27,NA,NA,NA,excluded_addon,IPS plus adjunct vs IPS (RCT; add-on question),2.3940886699507393,18,7,27,RR,2.4,NA,NA,,Moderate,,34,VANDUIN_2021__trial_binary__competitive_employment__18m
