item_id,study_key,author_year_as_printed,design,source_list,local_pdf,a33_population_status,a25_result_status,notes,li_label_as_supplied_2026_09_11,li_reason_2026_09_11
U01,allott2013,Allot et al. (2013),Cross-sectional,included_45,no,pending retrieval,pending retrieval,,Allott 2013,"Employment was used as a grouping variable, not an outcome; no intervention, no control, no effect size"
U02,allott2017,Allott et al. (2017),Longitudinal,included_45,no,pending retrieval,pending retrieval,,Allott 2017,No control group; very small sample; employment was not a prespecified primary quantitative outcome
U03,alvarezjimenez2012,Alvarez-Jimenez et al. (2012),Longitudinal,included_45,no,pending retrieval,pending retrieval,"YL labels this report 2021 (symptom remission and functional recovery cohort); HK's list gives 2012; mapping by topic, to be confirmed",Alvarez-Jimenez 2021 (symptom remission and functional recovery),Examined relationship between symptom remission and functional recovery; not a vocational intervention
U04,alvarezjimenez2021,Alvarez-Jimenez et al. (2021),Randomised Controlled Trial,included_45,no,pending retrieval,pending retrieval,"YL labels this the Horyzons RCT; mapping by topic, to be confirmed",Alvarez-Jimenez 2021 (Horyzons RCT),"Outcome was a combined employment/education measure, OR=5.55; if only pure employment is eligible, exclude"
U05,baksheev2012,Baksheev et al. (2012),Randomised Controlled Trial,included_45,no,pending retrieval,pending retrieval,,Baksheev 2012,Based on Killackey 2008; not an independent study; outcome was combined work/study
U06,buckle2025,Buckle et al. (2025),Longitudinal Cohort,included_45,no,pending retrieval,pending retrieval,YL labels 2024; HK's list 2025,Buckle 2024,NEET predicted symptomatic remission; not a vocational intervention
U07,caruana2018,Caruana et al. (2018),Cross-sectional,included_45,no,pending retrieval,pending retrieval,,Caruana 2018,"Compared vocational engagement across diagnostic groups; no intervention, no control"
U08,chan2020,Chan et al. (2020),Longitudinal,included_45,yes,eligible under A33,not determined from the first pages,"FES (first-episode schizophrenia-spectrum, nonaffective) sample entering the EASY early intervention service in Hong Kong 2001-2002 (2-year phase-specific intervention, ages 15-25); comorbid organic brain conditions, drug-induced psychosis and prior treatment for longer than 1 month before presentation were excluded, so population eligible under A33 (PDF p.2, Method/Samples). Employment is measured as months of full-time or part-time competitive paid employment or full-time education combined (PDF p.2, Ten-year employment history), not employment-only, and outcomes reported in the first pages are 10-year cluster-level; not determined from the first pages whether an employment-only count at 6 to 24 months is reported.",Chan 2020,"Early intervention vs standard care; 10-year employment trajectories, OR calculable, but non-randomized"
U09,chang2014,Chang et al. (2014),Longitudinal,included_45,no,pending retrieval,pending retrieval,,Chang 2014,"Predictors of vocational outcome; no control, no intervention"
U10,jackel2025,Jäckel et al. (2025),Randomised Controlled Trial,included_45,yes,eligible under A33,no employment-only result (composite outcome only),"population eligible under A33 (bipolar with psychotic features admitted; 23 of 94 substance-induced); reports only an employment, education or training composite, so no employment-only result (candidate_results R16)",Jackel 2025,"Primary outcome was EET ≥15 h/week, OR=3.0; if only pure employment is eligible, check whether employment alone was reported"
U11,jones2023,Jones et al. (2023),Qualitative,included_45,no,pending retrieval,pending retrieval,,Jones 2023,Interview study; no quantitative employment outcome
U12,kam2015,Kam et al. (2015),Longitudinal,included_45,no,pending retrieval,pending retrieval,YL labels 2013; HK's list 2015,Kam 2013,Predictors of NEET and relapse; not a vocational intervention
U13,mackinley2022,MacKinley et al. (2022),Prospective Longitudinal Cohort Study,included_45,no,pending retrieval,pending retrieval,,MacKinley 2022,Relationship between GSH and vocational status; not an intervention
U14,maraj2019,Maraj et al. (2019),Longitudinal Cohort,included_45,no,pending retrieval,pending retrieval,,Maraj 2019,NEET and service disengagement; not a vocational intervention
U15,miley2023,Miley et al. (2023),Longitudinal Secondary Analysis,included_45,no,pending retrieval,pending retrieval,YL labels 2021; HK's list 2023,Miley 2021,Used RAISE-ETP data for causal modeling; not an intervention effect evaluation
U16,nossel2018,Nossel et al. (2018),Prospective Longitudinal Cohort,included_45,no,pending retrieval,pending retrieval,,Nossel 2018,"OnTrackNY employment/education rates improved, but no control group"
U17,ortenblad2025,Ortenblad et al. (2025),Qualitative Study,included_45,no,pending retrieval,pending retrieval,,Ortenblad 2025,Interview study; no quantitative employment outcome
U18,poon2010,Poon et al. (2010),Retrospective Cohort Study,included_45,no,pending retrieval,pending retrieval,,Poon 2010,"Occupational therapy program; no control group, no between-group effect size"
U19,ramsay2012,Ramsay et al. (2012),Cross-Sectional Study,included_45,no,pending retrieval,pending retrieval,,Ramsay 2012,Unemployment prevalence and clinical correlates; no intervention
U20,stralin2019,Stralin et al. (2019),Longitudinal,included_45,no,pending retrieval,pending retrieval,,Strålin 2019,13-year employment rate 42%; no control group
U21,tarricone2017,Tarricone et al. (2017),Incidence Cohort Study,included_45,no,pending retrieval,pending retrieval,,Tarricone 2017,Migrant vs native employment outcomes; exposure was not a vocational intervention
