result_uid,report_id,study_id_clean,registry_key,cohort_id,design,allocation_unit,intervention_package,comparator_identity,treatment_duration_months,outcome_construct,outcome_basis,reference_period_start_months,reference_period_end_months,assessment_time_months,closest_eligible_to_12m,baseline_employment_selection,arm,numerator,denominator,denominator_type,n_randomised_or_enrolled,missingness_note,follow_up_after_withdrawal,design_adjusted_effect,design_adjusted_se_or_ci,ascertainment,source_page,verbatim_quote,currently_used,matches_current_result_id,discrepancy_note,extractor,checker,check_date,unresolved_disagreement
R01_01,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,"vocational activity (employment, education or training)",point,0,0,0,no,whole cohort,whole sample,46,97,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 1","From 68% of subjects having a productive occupation (work, studies, stay-at-home mothers), at some point during the year prior to admission, the occupation level dropped to 47% the month before admission and remained stable until admission.",no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Productive occupation explicitly includes stay-at-home mothers as well as work and studies.,"Claude Opus draft, 2026-09-06",,,
R01_02,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,any employment,point,0,0,0,no,whole cohort,whole sample,33,97,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 2","FIGURE 2. Employment in first-episode psychosis. Full time, Part time, None.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Full-time plus part-time employment. Figure 3's denominator label at each time point equals this count, which independently confirms the reconstruction.","Claude Opus draft, 2026-09-06",,,
R01_03,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,other (describe),point,0,0,0,n.a.,whole cohort,whole sample,20,97,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 4",The proportion of subjects studying was low and never reached the premorbid level (Fig. 4).,no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Studying full time or part time.,"Claude Opus draft, 2026-09-06",,,
R01_04,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,"vocational activity (employment, education or training)",point,3,3,3,no,whole cohort,whole sample,45,97,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 1","From 68% of subjects having a productive occupation (work, studies, stay-at-home mothers), at some point during the year prior to admission, the occupation level dropped to 47% the month before admission and remained stable until admission.",no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Productive occupation explicitly includes stay-at-home mothers as well as work and studies.,"Claude Opus draft, 2026-09-06",,,
R01_05,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,any employment,point,3,3,3,no,whole cohort,whole sample,35,97,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 2","FIGURE 2. Employment in first-episode psychosis. Full time, Part time, None.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Full-time plus part-time employment. Figure 3's denominator label at each time point equals this count, which independently confirms the reconstruction.","Claude Opus draft, 2026-09-06",,,
R01_06,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,competitive employment,point,3,3,3,no,whole cohort,whole sample,31,35,outcome_specific,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 3","Throughout the study, more than 80% of those working had obtained competitive employment, with very few needing specific mental health work rehabilitation programmes.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. DENOMINATOR IS THOSE WORKING, NOT THE ASSESSED COHORT. Regular work was considered as competitive employment that paid at least minimum wages. At 60 months Figure 3 labels n = 28 whereas Figure 2 implies 32 employed.","Claude Opus draft, 2026-09-06",,,
R01_07,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,other (describe),point,3,3,3,n.a.,whole cohort,whole sample,16,97,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 4",The proportion of subjects studying was low and never reached the premorbid level (Fig. 4).,no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Studying full time or part time.,"Claude Opus draft, 2026-09-06",,,
R01_08,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,"vocational activity (employment, education or training)",point,6,6,6,no,whole cohort,whole sample,55,95,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 1","From 68% of subjects having a productive occupation (work, studies, stay-at-home mothers), at some point during the year prior to admission, the occupation level dropped to 47% the month before admission and remained stable until admission.",no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Productive occupation explicitly includes stay-at-home mothers as well as work and studies.,"Claude Opus draft, 2026-09-06",,,
R01_09,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,any employment,point,6,6,6,no,whole cohort,whole sample,42,95,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 2","FIGURE 2. Employment in first-episode psychosis. Full time, Part time, None.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Full-time plus part-time employment. Figure 3's denominator label at each time point equals this count, which independently confirms the reconstruction.","Claude Opus draft, 2026-09-06",,,
R01_10,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,competitive employment,point,6,6,6,no,whole cohort,whole sample,33,42,outcome_specific,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 3","Throughout the study, more than 80% of those working had obtained competitive employment, with very few needing specific mental health work rehabilitation programmes.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. DENOMINATOR IS THOSE WORKING, NOT THE ASSESSED COHORT. Regular work was considered as competitive employment that paid at least minimum wages. At 60 months Figure 3 labels n = 28 whereas Figure 2 implies 32 employed.","Claude Opus draft, 2026-09-06",,,
