exclusion_id,first_author_year_as_supplied,decision,primary_reason_as_supplied,reason_class,label_collision,a33_rescreen_needed,supplied_by
X01,Allott et al. (2013),Exclude,Descriptive IPS implementation/guidance paper. Reports disclosure preferences and case vignettes rather than empirical employment or vocational outcome data. Does not investigate vocational outcomes directly.,design_no_outcome_data,allott2013 is among the 45 included and extracted studies; citation check needed to confirm this is a different Allott 2013 publication,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X02,Clarke et al. (2022),Exclude,Focused on quality of life outcomes rather than employment/vocational outcomes in FEP. Employment was only a secondary descriptive variable.,outcome_not_employment,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X03,Drake et al. (2013),Exclude,"Mixed sample comprising primary psychosis, substance-induced psychosis, and diagnostic-switch participants. Although subgroup analyses were reportedly conducted, employment outcomes for the primary psychosis subgroup were not reported separately, preventing extraction of data consistent with the review's eligibility criteria.",population,,"yes: mixed diagnosis sample, now within the A33 population; retrieve and screen","HK, 10 Sep 2026"
X04,Ishay & Roe (2025),Exclude,"Excluded because the study examined service-utilisation patterns within the NAVIGATE programme and their relationship to clinical and functional outcomes (CGI and GAF). Although Supported Employment and Education (SEE) was a component of the intervention, employment, educational participation, vocational engagement, or occupational functioning were not reported as outcome measures.",outcome_not_employment,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X05,Humensky et al (2020),Exclude,"Excluded because the study examined personnel time and service intensity required to deliver IPS services in recent-onset psychosis. Employment, educational participation, vocational engagement, or occupational functioning were not investigated as outcome measures.",design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X06,Karambelas et al. (2018),Exclude,Focused on neurocognitive outcomes rather than employment/vocational outcomes; employment duration was used as a predictor variable.,outcome_not_employment,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X07,Killackey et al. (2006),Exclude,Narrative review article examining vocational rehabilitation and early intervention in psychosis. No original participant sample or primary employment outcome data reported.,design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X08,Killackey et al. (2013),Exclude,"Study protocol/methodology paper describing the design of a randomized controlled trial of IPS in FEP. No employment, vocational, educational, or occupational outcome data reported.",design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X09,Kozloff et al. (2020),Exclude,Study protocol / no outcome data reported.,design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X10,Le et al. (2022),Exclude,Qualitative implementation/adaptation study of an FEP service model; no employment outcome data reported.,design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X11,Lucksted et al. (2015),Exclude,"Qualitative study examining facilitators and barriers to engagement with early psychosis services. Although supported education and employment services are discussed, the study does not investigate employment, vocational, educational, or occupational functioning outcomes.",design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X12,Mallawaarachchi et al. (2019),Exclude,"Study examining the psychometric properties of the Hinting Task and Theory of Mind in First-Episode Psychosis. Employment, vocational, educational, and occupational functioning outcomes were not investigated as primary outcomes. Occupational functioning was included only as a validation measure.",design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X13,McGahey et al. (2016),Exclude,"Study of young people with severe mental illness participating in supported employment services. Although employment outcomes were examined, the sample was not clearly defined as First Episode Psychosis (FEP) or early psychosis, and the diagnostic breakdown was not reported sufficiently to determine eligibility according to the review criteria.",population,,no: no psychosis requirement in the sample,"HK, 10 Sep 2026"
X14,Meyer-Kalos et al. (2021),Exclude,"Commentary/recommendation paper describing adaptations to Coordinated Specialty Care during the COVID-19 pandemic. No original empirical data or employment, vocational, educational, or occupational functioning outcomes reported.",design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X15,Meyer-Kalos et al. (2025),Exclude,"Intervention fidelity/implementation study. Evaluated the NAVIGATE Fidelity Scale (NAV-FS) and service implementation rather than participant employment, vocational, educational, or occupational functioning outcomes. No relevant outcome data reported.",design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X16,Mueser et al. (2015),Exclude,"Program description paper outlining the NAVIGATE intervention and its psychosocial components. No original participant outcome data reported and no employment, vocational, educational, or occupational functioning outcomes evaluated.",design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X17,Neuchterlein et al. (2008),Exclude,Intervention description paper describing the adaptation of Individual Placement and Support (IPS) for recent-onset schizophrenia. No outcome data reported; primary trial results were not yet available and were reported in a subsequent publication.,design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
X18,Porteous et al. (2007),Exclude,"Practice evaluation/service implementation study describing implementation of Individual Placement and Support (IPS) for young adults with psychosis. Focused on programme fidelity, implementation and service development rather than empirical evaluation of participant employment, educational, vocational or occupational outcomes.",design_no_outcome_data,,"no: excluded for design or outcome, unaffected by A33","HK, 10 Sep 2026"
