study_id_clean,component_Selection_Bias,component_Study_Design,component_Confounders,component_Data_Collection_Methods,component_Withdrawals_and_Dropouts,analyses_column,global_as_supplied,n_weak,global_by_rule,rule_matches_supplied
ABDELBAKI_2013,Moderate,Weak,Weak,Weak,Moderate,Yes,Weak,3,Weak,TRUE
ANDERSEN_2024,Moderate,Weak,Moderate,Moderate,Weak,Yes,Weak,2,Weak,TRUE
CHUA_2019,Moderate,Weak,Moderate,Strong,Moderate,Yes,Moderate,1,Moderate,TRUE
CRAIG_2014,Weak,Strong,Strong,Strong,Strong,Yes,Moderate,1,Moderate,TRUE
DUDLEY_2014,Moderate,Moderate,Moderate,Moderate,Weak,Yes,Moderate,1,Moderate,TRUE
EACK_2011,Moderate,Strong,Strong,Strong,Moderate,Yes,Strong,0,Strong,TRUE
ERICKSON_2021,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,0,Strong,TRUE
FOWLER_2019,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,0,Strong,TRUE
HEGELSTAD_2019,Moderate,Moderate,Moderate,Strong,Moderate,Yes,Strong,0,Strong,TRUE
HUMENSKY_2017,Moderate,Weak,Moderate,Strong,Weak,Yes,Weak,2,Weak,TRUE
KILLACKEY_2008,Strong,Strong,Strong,Strong,Strong,Yes,Strong,0,Strong,TRUE
KILLACKEY_2019,Strong,Strong,Moderate,Strong,Strong,Yes,Strong,0,Strong,TRUE
LIN_2026,Moderate,Weak,Moderate,Strong,Weak,Yes,Weak,2,Weak,TRUE
MAJOR_2010,Strong,Moderate,Moderate,Strong,Strong,Yes,Strong,0,Strong,TRUE
NUECHTERLEIN_2020,Moderate,Strong,Strong,Strong,Moderate,Yes,Strong,0,Strong,TRUE
POTHIER_2019,Moderate,Weak,Moderate,Strong,Strong,Yes,Moderate,1,Moderate,TRUE
RINALDI_2004,Moderate,Weak,Weak,Moderate,Strong,Yes,Weak,2,Weak,TRUE
RINALDI_2010,Moderate,Weak,Weak,Moderate,Weak,Yes,Weak,3,Weak,TRUE
ROSENHECK_2017,Moderate,Strong,Strong,Strong,Moderate,Yes,Strong,0,Strong,TRUE
TAPFUMANEYI_2015,Moderate,Weak,Moderate,Strong,Strong,Yes,Moderate,1,Moderate,TRUE
TURNER_2019,Moderate,Weak,Weak,Strong,Strong,Yes,Weak,2,Weak,TRUE
VANDUIN_2021,Weak,Strong,Strong,Strong,Moderate,Yes,Moderate,1,Moderate,TRUE
WILLIAMS_2016,Weak,Weak,Weak,Moderate,Strong,Yes,Weak,3,Weak,TRUE
