study_id_clean,li_row,li_effect_type,li_timepoint,li_basis,li_outcome,li_events,li_n_assessed,li_events_int,li_n_int,li_events_con,li_n_con,li_page,rel_timepoint,rel_basis,rel_events,rel_n_assessed,rel_sets,rel_events_int,rel_n_int,rel_events_con,rel_n_con,counts_agree,timepoint_label_same,release_comparison
ABDELBAKI_2013,ABDELBAKI_001,proportion,12,point,Full-time or part-time employment at 12 months,40,91,,,,,p.4 Figure 2,12,point,40,91,a33_point_primary; a33_point_duration_sens,,,,,TRUE,TRUE,counts agree with release input
ANDERSEN_2024,ANDERSEN_001,proportion,12,point,Working in a job (part-time or full-time) at the time of assessment,205,578,,,,,p.6 Table 2,12,point,205,578,a33_point_primary; a33_point_duration_sens,,,,,TRUE,TRUE,counts agree with release input
CHUA_2019,CHUA_001,proportion,24,point,Gainfully employed or engaged in an age-appropriate role at 24-month endpoint,829,1177,,,,,p.3 Results Table 1,24,point,829,1177,,,,,,TRUE,TRUE,counts agree with release input
CRAIG_2014,CRAIG_001,proportion,12,point,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,41,134,,,,,p.4 Table 2; Results,12,point,36,134,a33_point_primary; a33_point_duration_sens,,,,,FALSE,TRUE,counts differ from release input
CRAIG_2014,CRAIG_002,trial_binary,12,point,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,,,29,68,12,66,,12,point,36,134,a33_point_primary; a33_point_duration_sens,,,,,,,no release trial row
DUDLEY_2014,DUDLEY_001,proportion,12,point,Full-time or part-time employment at 12-month follow-up,30,194,,,,,p.4 Table 2,12,point,30,194,a33_point_primary; a33_point_duration_sens,,,,,TRUE,TRUE,counts agree with release input
DUDLEY_2014,DUDLEY_002,trial_binary,12,point,Full-time or part-time employment at 12-month follow-up,,,18,104,12,90,,12,point,30,194,a33_point_primary; a33_point_duration_sens,,,,,,,no release trial row
EACK_2011,EACK_001,proportion,24,point,Paid competitive employment at 24-month follow-up,12,46,,,,,p.5 Results; p.6 Table 1,24,point,17,46,a33_point_duration_sens,,,,,FALSE,TRUE,counts differ from release input
EACK_2011,EACK_002,trial_binary,24,point,Paid competitive employment at 24-month follow-up,,,9,24,3,22,,24,point,17,46,a33_point_duration_sens,,,,,,,no release trial row
ERICKSON_2021,ERICKSON_001,proportion,0_6,period,Any competitive paid work during the 0_6 month follow-up period (at least 1 day),60,109,,,,,p.5 Table 2; Results,12,period,59,97,a33_period,30,50,30,52,FALSE,FALSE,counts differ from release input
ERICKSON_2021,ERICKSON_002,proportion,6_12,period,Any competitive paid work during the 6_12 month follow-up period (at least 1 day),59,109,,,,,p.5 Table 2; Results,12,period,59,97,a33_period,30,50,30,52,FALSE,FALSE,counts differ from release input
ERICKSON_2021,ERICKSON_003,trial_binary,6_12,period,Any competitive paid work during the 6_12 month follow-up period,,,34,56,25,53,,12,period,59,97,a33_period,30,50,30,52,FALSE,,counts differ from release input
FOWLER_2019,FOWLER_001,proportion,24,period,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),9,29,,,,,p.4 Table 1; Results,24,period,5,44,a33_period,,,,,FALSE,TRUE,counts differ from release input
FOWLER_2019,FOWLER_002,trial_binary,24,period,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),,,9,29,6,37,,24,period,5,44,a33_period,,,,,,,no release trial row
HEGELSTAD_2019,HEGELSTAD_001,proportion,12,point,Competitive employment >20h/wk at 1-year follow-up,16,60,,,,,p.5 Table 2; Results,12,point,16,57,a33_point_primary; a33_point_duration_sens,,,,,FALSE,TRUE,counts differ from release input
HEGELSTAD_2019,HEGELSTAD_002,trial_binary,12,point,Competitive employment >20h/wk at 1-year follow-up,,,14,30,2,30,,12,point,16,57,a33_point_primary; a33_point_duration_sens,,,,,,,no release trial row
HUMENSKY_2017,HUMENSKY_001,proportion,0_24,period,Working only or both working and in school at any time during program participation,34,65,,,,,p.3 Table 1; p.2 Results,12,period,12,43,,,,,,FALSE,FALSE,counts differ from release input
KILLACKEY_2008,KILLACKEY_001,proportion,0_6,period,Obtained competitive employment during 6-month follow-up period,15,41,,,,,p.4 Results; p.5 Fig 3,6,period,15,41,a33_period,13,20,2,21,TRUE,FALSE,counts agree with release input
KILLACKEY_2008,KILLACKEY_002,trial_binary,0_6,period,Obtained competitive employment during 6-month follow-up period,,,13,20,2,21,,6,period,15,41,a33_period,13,20,2,21,TRUE,,counts agree with release input
KILLACKEY_2019,KILLACKEY_001,proportion,0_6,period,Worked at least 1 day in paid employment during 6_12 month follow-up period,76,126,,,,,"Figure 1, p.3 Results",6,period,76,126,a33_period,47,66,29,60,TRUE,FALSE,counts agree with release input
KILLACKEY_2019,KILLACKEY_002,trial_binary,0_6,period,Worked at least 1 day in paid employment during 0_6 month follow-up period,,,47,66,29,60,,6,period,76,126,a33_period,47,66,29,60,TRUE,,counts agree with release input
LIN_2026,LIN_001,proportion,18,point,Full- or part-time employment at 12-month follow-up,215,474,,,,,p.3 Results; p.4 Fig 1,12,point,119,280,,,,,,FALSE,FALSE,counts differ from release input
