report_id,study_id_clean,registry_key,cohort_id,doi,first_author,print_year,design,country_setting,diagnostic_criteria,diagnostic_composition_as_reported,pct_bipolar,pct_substance_induced,comorbid_substance_use_note,duration_definition,duration_mean_sd,duration_range_or_max,stated_eligibility_window,age_range_or_mean,eligible_subgroup_extractable,subgroup_counts_if_reported,source_page,verbatim_quote,conflict_with_prospero_v2,decision,rationale,amendment_ref,possible_cohort_overlap,extractor,checker,check_date,unresolved_disagreement,decision_a24_strict,decision_a33
R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,10.1111/eip.12021,Abdel-Baki,2013,Prospective descriptive cohort (file review) of all admissions to an early psychosis programme with vocational case management; up to 5 years of follow-up,"Canada; Clinique Jeunes Adultes Psychotiques (JAP), CHUM, downtown Montreal; specialist early intervention outpatient programme",DSM-IV-TR; best-estimate consensus diagnosis from file information by one or two psychiatrists and a resident,"Of 97 analysed: schizophrenia-spectrum psychosis (SSP) 56% (schizophrenia 45%, schizoaffective disorder 10%); non-schizophrenic affective psychosis (NSAP) 44% (type I bipolar disorder with psychotic features 32%, psychotic depression 8%); psychosis NOS assigned individually",32,not reported,Comorbid substance misuse not an exclusion; group programme included a motivational group to combat substance abuse comorbidity,"Time since first treatment for psychosis (untreated, or treated for less than 1 year, at admission)",not reported,Maximum 1 year of prior treatment for psychosis at admission; subjects with more than 1 year of previous treatment excluded,Age 18-30 at admission; affective or non-affective psychosis as main diagnosis; untreated or treated for less than 1 year for psychosis,18-30 at admission; mean age at admission 23.5 years,no,SSP versus NSAP productive-occupation rates presented only graphically (Figure 5); no numerators or denominators given for the schizophrenia-spectrum subgroup,"PDF p.2 (printed p.392), Method/Participants; PDF p.3 (printed p.393), Results; PDF p.5 (printed p.395), Figure 5","""Clinique JAP offers services to all CHUM patients meeting the following inclusion criteria: age between 18 and 30 years at admission, affective or non-affective psychosis (main diagnosis) and untreated or treated for less than 1 year for psychosis."" ""56% of patients were grouped in the SSP group ... and 44% in the NSAP group (type I bipolar disorder with psychotic features (32%), psychotic depression 8%)).""",definite,eligible under A33 (early psychosis programme admission; maximum 1 year of prior treatment for psychosis at admission satisfies the first-treatment measure; bipolar with psychotic features and psychotic depression both count as non-organic psychosis under A33),Early psychosis programme admission with a maximum of 1 year of prior treatment for psychosis at admission (duration_range_or_max) satisfies the A33 first-treatment measure.,A33 (A24 strict recorded in decision_a24_strict),None identified,"Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),eligible under A33 (early psychosis programme admission; maximum 1 year of prior treatment for psychosis at admission satisfies the first-treatment measure; bipolar with psychotic features and psychotic depression both count as non-organic psychosis under A33)
R02,ANDERSEN_2024,andersen2024,ANDERSEN_2024,10.1177/00048674241261778,Andersen,2024,Naturalistic longitudinal cohort using routinely collected minimum data set; FEP and ultra-high-risk streams analysed separately,"Australia; headspace Early Psychosis (hEP) programme, national network of early psychosis centres; community/outpatient","FEP and UHR status determined by clinicians using the Comprehensive Assessment of At Risk Mental States (CAARMS; Yung et al., 2005); no DSM or ICD diagnostic categories reported","Not reported; no breakdown of psychotic disorder diagnoses. Cohorts given as FEP n=1574 and UHR n=1515, reported separately",not reported,not reported,not reported,Duration of untreated psychosis (days between first manifest psychotic symptom at threshold and first antipsychotic treatment or hEP entry),not reported (DUP given categorically: 30 days or less 74.8%; 31-90 days 11.5%; 91 days to 1 year 9.3%; over 1 year 4.4%; DUP missing for n=640),not reported,Young people aged 12-25 accessing hEP for FEP or UHR between 19 June 2017 and 22 March 2021 who consented to service-evaluation data use; only the first episode of care analysed,12-25; FEP mean age at intake 19.8 (SD 2.8),yes,"FEP cohort (n=1574) reported separately from the UHR cohort (n=1515) at every time point, with NEET/working/studying percentages and denominators","PDF p.2-3 (printed pp.876-877), Methods/Participants and Measures; PDF p.5 (printed p.879), Table 1","""The study sample is a naturalistic cohort of young people aged 12-25 accessing treatment for FEP or UHR through the hEP programme. FEP status and UHR status were determined based on the criteria outlined in Comprehensive Assessment of At Risk Mental States (Yung et al., 2005).""",possible,"eligible under A33 for the FEP stream; UHR participants excluded, as the report's counts separate the FEP stream (n=1574) from the UHR stream (n=1515) throughout","The hEP FEP stream (n=1574) is reported separately from the UHR stream (n=1515) at every time point (subgroup_counts_if_reported), so the FEP stream is eligible and UHR participants are excluded under A33.",A33 (A24 strict recorded in decision_a24_strict),"None identified; hEP is a distinct Australian national programme, separate from the EPPIC samples in Killackey 2008 and Killackey 2019","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),"eligible under A33 for the FEP stream; UHR participants excluded, as the report's counts separate the FEP stream (n=1574) from the UHR stream (n=1515) throughout"
R03,CRAIG_2014,craig2014,CRAIG_2014,10.1192/bjp.bp.113.136283,Craig,2014,"Cluster randomised controlled trial; four early intervention teams already providing IPS, two randomised to additional motivational interviewing training",England; two London and two Midlands early intervention in psychosis teams; community EIP,"Not stated; participants recruited from early intervention teams, no diagnostic instrument or classification system reported","Not reported; Table 1 gives sex, ethnicity, work history, age, work importance/likelihood, PANSS and GAF only",not reported,not reported,not reported,Not stated; only time in early intervention care is described (services provide care for 2-3 years following a first episode),not reported,Early intervention care limited to 2-3 years following a first episode; participants had to have at least 12 further months of EIP care,"Aged 18-35 years, not currently in work or full-time education, legal right to employment in England, expected to remain under EIP care for at least the subsequent 12 months, able to give written consent",18-35; team means 23-25 years (s.d. 3.7-4.7),yes,"Whole randomised sample is the eligible population; 300 eligible, 159 analysed, employment outcomes reported by team and by arm","PDF p.2 (printed p.146), Method/Participants; PDF p.3 (printed p.147), Table 1","""Patients were eligible for inclusion in the study if they were aged 18-35 years, not currently in work ... or full-time education ... and expected to remain under the care of the early intervention service for at least the subsequent 12 months (the early intervention services in this study provided care for a period of 2-3 years following a first episode ...).""",possible,eligible under A33 (recruited from four early intervention teams already providing IPS; EIP care limited to 2-3 years following a first episode satisfies the first-treatment measure),"Recruited from four early intervention in psychosis teams, with EIP care limited to 2-3 years following a first episode (duration_range_or_max), satisfying the A33 first-treatment measure.",A33 (A24 strict recorded in decision_a24_strict),"Shares an author (M. Rinaldi) and the London EIP context with Rinaldi 2004 and Rinaldi 2010, but recruitment was 2009-2011 in four named teams, so participant overlap is unlikely; verify team identity against Rinaldi ETHOS (Wandsworth)","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),eligible under A33 (recruited from four early intervention teams already providing IPS; EIP care limited to 2-3 years following a first episode satisfies the first-treatment measure)
R04,DUDLEY_2014,dudley2014,DUDLEY_2014,10.1111/eip.12043,Dudley,2014,"Naturalistic controlled service audit; repeated EET audits in two neighbouring EIP services, one receiving an IPS vocational worker",England (north-east); two neighbouring early intervention in psychosis services; community EIP,Not stated; service entry criterion is the presence of distressing and/or disabling psychotic symptoms for 7 or more days,Not reported,not reported,not reported,not reported,Not stated; participants are current EIP caseloads audited at four time points,not reported,not reported,EIP service entry criteria: people aged 14-35 with distressing and/or disabling psychotic symptoms for a period of 7 or more days,"14-35; service 1 mean 24.2 (SD 5.1), service 2 mean 25.3 (SD 5.3)",yes,EET counts reported for whole audited caseloads (e.g. denominators of 76 in service 1); no diagnostic subgroups reported,"PDF p.2 (printed p.99), Method/Participants","""Both EIP services work with people aged 14-35 who met the entry criteria, which is the presence of distressing and/or disabling psychotic symptoms for a period of 7 or more days.""",possible,eligible under A33 (EIP service entry criterion of distressing or disabling psychotic symptoms for 7 or more days; naturalistic audit of current EIP caseloads satisfies the first-treatment measure via service admission),EIP service entry criterion of psychotic symptoms for 7 or more days (stated_eligibility_window) and audit of current EIP caseloads satisfy the A33 first-treatment measure.,A33 (A24 strict recorded in decision_a24_strict),None identified,"Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),eligible under A33 (EIP service entry criterion of distressing or disabling psychotic symptoms for 7 or more days; naturalistic audit of current EIP caseloads satisfies the first-treatment measure via service admission)
R05,EACK_2011,eack2011,EACK_2011,10.1177/1049731509355812,Eack,2011,Secondary analysis of employment outcomes from a two-year randomised controlled trial of Cognitive Enhancement Therapy versus Enriched Supportive Therapy,"USA; specialty outpatient research clinic, University of Pittsburgh Western Psychiatric Institute and Clinic; recruited from inpatient and outpatient services and nearby community clinics","Structured Clinical Interview for DSM-IV (SCID; First et al., 2002), confirmed in consensus conferences from videotaped interviews","Randomised sample with treatment exposure n=58: schizophrenia n=38, schizoaffective disorder n=20 (eligibility also allowed schizophreniform disorder)",0 (excluded by design),0 (excluded by design),Absence of significant substance abuse within the 2 months prior to enrolment was an inclusion criterion; comorbid substance use otherwise not described,Duration of illness measured as time since onset of the first psychotic symptom,3.19 years (SD 2.24) since first psychotic symptom,Up to 8 years since onset of first psychotic symptom permitted by eligibility criteria,Onset of first psychotic symptom within the past 8 years; stabilised on antipsychotics; IQ 80 or above; significant social and cognitive disability on the Cognitive Styles and Social Cognition Eligibility Interview,Mean 25.92 (SD 6.31),no,No counts or employment outcomes are reported for the subgroup within five years of onset; only the whole-sample mean duration is given,"PDF p.5, Method/Participants (Participants paragraph)","""Eligible participants were those with a diagnosis of schizophrenia, schizoaffective, or schizophreniform disorder ... who ... had experienced the onset of their first psychotic symptom within the past 8 years ... Treated participants had been ill an average of 3.19 (SD = 2.24) years since their first psychotic symptom.""",definite,A33 duration sensitivity only (onset within eight years permitted; five-year compatibility not established),"Eligibility permits first psychotic symptom onset up to 8 years before entry (duration_range_or_max) and no subgroup restricted to five years or less is reported (subgroup_counts_if_reported), so five-year compatibility is not established.",A33 (A24 strict recorded in decision_a24_strict),None identified,"Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),A33 duration sensitivity only (onset within eight years permitted; five-year compatibility not established)
R06,HEGELSTAD_2019,hegelstad2019,HEGELSTAD_2019,10.1111/eip.12686,Hegelstad,2019,Matched-control pilot study of Job- and SchoolPrescription (IPS) nested in the TIPS-2 early detection cohort; 1- and 2-year follow-up,Norway; Rogaland County catchment (TIPS early detection and intervention strategy); specialist early psychosis services,"DSM-IV criteria for first-episode psychosis; diagnoses by SCID (Spitzer et al., 1992) given by experienced consultant psychologists, psychiatrists or a trained psychiatric nurse (kappa = 0.9)",Control group (n=33) versus Job- and SchoolPrescription (n=33): schizophrenia spectrum 14 (42.4%) vs 12 (36.4%); affective psychosis 6 (18.2%) vs 7 (21.2%); delusional disorder 1 (3.0%) vs 1 (3.0%); substance-induced psychosis 3 (9.1%) vs 3 (9.1%); psychosis NOS 9 (27.3%) vs 10 (30.3%),"not reported (affective psychosis, defined as mood incongruent psychotic symptoms only, 18.2% control and 21.2% intervention)",9.1 (3 of 33 in each group; 6 of 66 overall),Substance use assessed with the Drake Clinician Alcohol/Drug Use Rating Scale and entered as a covariate; comorbid substance use not an exclusion,"First-episode psychosis per DSM-IV as defined in the TIPS study (Melle et al., 2004); no duration of illness or DUP figures reported in this report",not reported,not reported,"Living in the Rogaland catchment, age 15 through 65, meeting DSM-IV criteria for a first-episode psychosis as described in the TIPS study, no neurological or endocrine disorder related to the psychosis, IQ above 70, Scandinavian language, able to consent",15-65 permitted; mean age 21.8 (SD 4.7) control and 21.2 (SD 4.2) intervention,no,"Employment and education outcomes are reported for the whole groups only; diagnosis is entered in regressions dichotomised as schizophrenia spectrum versus other, with no employment counts by diagnostic category","PDF p.3, Section 2.2 Inclusion criteria and Section 2.4 diagnostic categories; PDF p.5 (printed p.863), Table 1","""For statistical purposes the following diagnostic categories were applied: schizophrenia spectrum disorders ...; affective psychosis (mood incongruent psychotic symptoms only); delusional disorder; substance-induced psychotic disorder; and psychotic disorder not otherwise specified (NOS)."" Table 1: ""Substance-induced psychosis 3 9.1 3 9.1"".",definite,eligible under A33 (first-episode psychosis per DSM-IV as defined in the TIPS early detection and intervention strategy; substance-induced psychosis and affective psychosis both count as non-organic psychosis under A33),"First-episode psychosis defined per DSM-IV within the TIPS early detection cohort (duration_definition, country_setting) satisfies criterion (i); substance-induced psychosis (9.1% of each group) counts as eligible non-organic psychosis under A33.",A33 (A24 strict recorded in decision_a24_strict),"Drawn from the TIPS/TIPS-2 cohort; controls were selected from TIPS participants entering 2007-2012. Hegelstad 2017 (Psychiatric Services, registry key hegelstad2017, not in this audit set) reports the same TIPS programme and would overlap if added","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),eligible under A33 (first-episode psychosis per DSM-IV as defined in the TIPS early detection and intervention strategy; substance-induced psychosis and affective psychosis both count as non-organic psychosis under A33)
R07,POTHIER_2019,pothier2019,POTHIER_2019,10.1016/j.scog.2019.100158,Pothier,2019,Longitudinal observational study; baseline neuropsychological assessment with occupational status at 6 months,"Canada; Quebec City, recruited from an early-intervention programme for first-episode psychosis and a follow-on intensive treatment clinic; outpatient",Not stated beyond a clinician-confirmed diagnosis of a psychotic disorder; inclusion and exclusion criteria assessed at an appointment with the participant's psychiatrist; no diagnostic instrument named,"Not reported; Table 2 gives age, education, duration of treatment, PANSS, SOFAS, gender and ethnicity only",not reported,not reported,not reported,Duration of treatment for the psychotic disorder (months),24.5 months (SD 16.3),3-53 months; eligibility capped at less than five years of treatment,"Aged 18-39; a diagnosis of a psychotic disorder; less than five years of treatment for their psychotic disorder; stable clinical status (CGI-CB 1, 2, 5 or 6); no current full-time occupation; willingness to improve occupational status",18-39; mean 24.9 (SD 4.92),yes,"Whole sample (n=27) falls within the five-year window; occupational status counts at 6 months reported as n=14 no occupation, 2 social economy, 3 part-time competitive, 8 full-time competitive","PDF p.2, Methods/Participants; PDF p.4, Table 2","""All participants met the following inclusion criteria: (1) aged between 18 and 39 years; (2) a diagnosis of a psychotic disorder; (3) less than five years of treatment for their psychotic disorder ..."" Table 2: ""Duration of treatment (months) 24.5 16.3 3-53"".",possible,"eligible under A33 (eligibility capped at less than five years of treatment for the psychotic disorder, recruited from an early-intervention programme for first-episode psychosis)",Stated eligibility window caps duration of treatment at less than five years and recruitment is from an early-intervention programme for first-episode psychosis.,A33 (A24 strict recorded in decision_a24_strict),"Quebec City early intervention programme; distinct from the Montreal Clinique JAP cohort in Abdel-Baki 2013, but both are Quebec early-intervention samples and should be checked for service overlap","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),"eligible under A33 (eligibility capped at less than five years of treatment for the psychotic disorder, recruited from an early-intervention programme for first-episode psychosis)"
R08,RINALDI_2010,rinaldi2010,SWL_IPS_SERVICE,10.3109/09638230903531100,Rinaldi,2010,Pre-post observational service evaluation of an adapted IPS (with supported education) approach; monthly vocational data over 24 months,"United Kingdom; ETHOS early intervention team, South West London and St George's; community EIP",Not stated; diagnosis recorded from clinical/team data as part of routine monthly data collection,"n=166: schizophrenia 160 (96%), other psychosis 6 (4%). Contact with team at intervention: 6 months or less 146 (88%), 6-12 months 13 (8%), more than 12 months 7 (4%)",not reported (subsumed within other psychosis 4%),not reported,not reported,Duration of contact with the early intervention team (time since first treatment contact),not reported,ETHOS provides community-based care for a maximum of 2 years following a first episode of psychosis; 88% received the vocational intervention within 6 months of team contact,All clients of the ETHOS early intervention team for young people with a first episode of psychosis who received a vocational intervention between November 2001 and July 2006; IPS zero-exclusion eligibility based on client choice,17-32; median age 22 years (SD 3.24),yes,"Whole service cohort (n=166) is the eligible population; vocational outcomes reported at 6, 12, 18 and 24 months with denominators","PDF p.2, Method/Clinical team; PDF p.4 (printed p.486), Table 1 and Results","""The ETHOS team, is an early intervention team for young people with a first episode of psychosis ... provides a comprehensive package of community-based care for a maximum of 2 years ..."" ""The majority were male (69%), predominantly with a diagnosis of schizophrenia spectrum disorder (96%) ...""",possible,"eligible under A33 (ETHOS early intervention team for first-episode psychosis; ETHOS care limited to 2 years after a first episode, with 88% receiving the vocational intervention within 6 months)",ETHOS early intervention team sample with care limited to 2 years after a first episode of psychosis (duration_range_or_max) satisfies the A33 first-treatment measure.,A33 (A24 strict recorded in decision_a24_strict),"Same ETHOS service as Rinaldi 2004 (cohort_id SWL_IPS_SERVICE); Rinaldi 2004 reports 40 clients receiving the vocational intervention at the same service and is almost certainly a subset of this 2001-2006 cohort. ETHOS (Wandsworth) is also one of the seven London EIP teams contributing to Tapfumaneyi 2015 (2003-2010), so partial participant overlap with that report is likely","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),"eligible under A33 (ETHOS early intervention team for first-episode psychosis; ETHOS care limited to 2 years after a first episode, with 88% receiving the vocational intervention within 6 months)"
R09,ROSENHECK_2017,rosenheck2017,ROSENHECK_2017,10.1016/j.schres.2016.09.024,Rosenheck,2017,"Secondary analysis of the RAISE-ETP cluster randomised trial (NAVIGATE coordinated specialty care versus community care), 34 clinics, 2-year outcomes",USA; 34 community mental health treatment centres; coordinated specialty care for first-episode psychosis,"Not stated in this report; centralised diagnostic interviews were conducted by MedAvante for the parent RAISE-ETP trial (design published separately, Kane et al., 2015)","Not reported; Table 1 reports work/school participation, disability status and income only",not reported,not reported,not reported,Time since first antipsychotic treatment (antipsychotic medication for 6 months or less at enrolment); DUP measured as date of first onset of symptoms to initiation of antipsychotic treatment,not reported in this report (DUP tested as a moderator only),Antipsychotic medication for 6 months or less at enrolment,"Individuals aged 15-40 presenting for treatment for first-episode psychosis who had taken antipsychotic medication for 6 months or less, enrolled July 2010 to July 2012",15-40; mean not reported in this report,yes,"Whole trial sample is the eligible population; work/school participation percentages with arm denominators (CC n=181, NAVIGATE n=223 at baseline) reported in Table 1","PDF p.2 (printed p.121), Methods; PDF p.5 (printed p.124), Table 1","""A total of 404 individuals aged 15-40 who presented for treatment for FEP and had taken antipsychotic medication for six months or less were enrolled between July 2010 and July 2012.""",possible,eligible under A33 (individuals presenting for treatment of first-episode psychosis who had taken antipsychotic medication for 6 months or less at enrolment; RAISE-ETP coordinated specialty care for first-episode psychosis),Enrolment criterion of 6 months or less of antipsychotic medication at entry to first-episode coordinated specialty care (duration_range_or_max) satisfies the A33 first-treatment measure.,A33 (A24 strict recorded in decision_a24_strict),"RAISE-ETP; distinct from the RAISE Connection Program cohort reported by Humensky 2017, but both are RAISE-branded NIMH first-episode programmes and should be checked to confirm no participant overlap","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),eligible under A33 (individuals presenting for treatment of first-episode psychosis who had taken antipsychotic medication for 6 months or less at enrolment; RAISE-ETP coordinated specialty care for first-episode psychosis)
R10,VANDUIN_2021,vanduin2021,VANDUIN_2021,10.1016/j.schres.2021.07.025,van Duin,2021,Randomised controlled trial of IPS plus computerised cognitive remediation versus IPS plus computer games; 6- and 18-month outcomes,The Netherlands; ten specialised early intervention in psychosis services and seven FACT teams; outpatient,Not named as an instrument; eligibility framed as all types of psychotic disorder except substance-induced psychotic disorders and psychotic disorders due to a general medical condition; Table 1 reports DSM primary diagnosis categories,Circuits (n=34) versus control (n=39): schizophrenia 7 (20.6%) vs 8 (20.5%); schizoaffective disorder 1 (2.9%) vs 3 (7.7%); psychosis NOS 23 (67.6%) vs 24 (61.5%); brief psychotic disorder 0 vs 1 (2.6%); delusional disorder 2 (5.9%) vs 2 (5.1%); depressive disorder with psychotic features 1 (2.9%) vs 1 (2.6%),0 (no bipolar category listed among Table 1 primary diagnoses),0 (excluded by design),Comorbid substance use not an exclusion; only substance-induced psychotic disorder as the primary diagnosis was excluded,Duration of illness (years) since a first episode of psychosis,2.85 years (SD 3.03) Circuits group; 2.33 years (SD 2.08) control group,Eligibility capped at a first episode of psychosis during the past 5 years,Experienced a first episode of psychosis during the past 5 years (all types of psychotic disorder except substance-induced psychotic disorders and psychotic disorders due to a general medical condition); 18 years or older; desire for competitive work or education; objective or subjective cognitive deficits; IQ above 70; fluent in Dutch,18 and over; mean 28.12 (SD 6.46) Circuits and 26.00 (SD 4.83) control,yes,Whole randomised sample (n=73) falls within the five-year window and no excluded diagnoses are present; competitive employment outcomes reported by arm,"PDF p.2, Methods 2.1 Participants; PDF p.4, Table 1","""Eligibility criteria were: a) experienced a first episode of psychosis during the past 5 years (including all types of psychotic disorder except for substance induced psychotic disorders and psychotic disorders due to a general medical condition); b) 18 years or older ...""",none,eligible under A33 (first episode of psychosis during the past 5 years by explicit eligibility criterion; recruited from specialised early intervention in psychosis services and FACT teams),"Stated eligibility window explicitly caps duration since first episode of psychosis at 5 years, recruited from specialised early intervention in psychosis services.",A33 (A24 strict recorded in decision_a24_strict),None identified,"Claude Opus draft, 2026-09-06",RT,2026-09-10,,eligible for strict set (A24),eligible under A33 (first episode of psychosis during the past 5 years by explicit eligibility criterion; recruited from specialised early intervention in psychosis services and FACT teams)
