raw_row_id,report_id,study_id_clean,registry_key,doi,cohort_id,result_id,result_id_current,result_uid,effect_type,in_primary_set,analysis_set,id_changed
1,R01,ABDELBAKI_2013,abdelbaki2013,10.1111/eip.12021,ABDELBAKI_2013,ABDELBAKI_2013__proportion__competitive_employment__12m,ABDELBAKI_2013__proportion__competitive_employment__12m,R01_01,proportion,TRUE,NA,FALSE
2,R02,ANDERSEN_2024,andersen2024,10.1177/00048674241261778,ANDERSEN_2024,ANDERSEN_2024__proportion__competitive_employment__12m,ANDERSEN_2024__proportion__competitive_employment__12m,R02_01,proportion,TRUE,NA,FALSE
3,R17,CHUA_2019,chua2019,10.1016/j.schres.2019.07.009,CHUA_2019,CHUA_2019__proportion__meaningful_employment__24m,CHUA_2019__proportion__meaningful_employment__24m,R17_01,proportion,FALSE,NA,FALSE
4,R03,CRAIG_2014,craig2014,10.1192/bjp.bp.113.136283,CRAIG_2014,CRAIG_2014__proportion__open_employment__12m,CRAIG_2014__proportion__open_employment__12m,R03_01,proportion,TRUE,NA,FALSE
5,R03,CRAIG_2014,craig2014,10.1192/bjp.bp.113.136283,CRAIG_2014,CRAIG_2014__trial_binary__open_employment__12m,CRAIG_2014__trial_binary__open_employment__12m,R03_02,trial_binary,NA,excluded_addon,FALSE
6,R04,DUDLEY_2014,dudley2014,10.1111/eip.12043,DUDLEY_2014,DUDLEY_2014__proportion__any_paid_employment__12m,DUDLEY_2014__proportion__any_paid_employment__12m,R04_01,proportion,TRUE,NA,FALSE
7,R04,DUDLEY_2014,dudley2014,10.1111/eip.12043,DUDLEY_2014,DUDLEY_2014__trial_binary__any_paid_employment__12m,DUDLEY_2014__trial_binary__any_paid_employment__12m,R04_02,trial_binary,NA,other_comparison,FALSE
8,R05,EACK_2011,eack2011,10.1177/1049731509355812,EACK_2011,EACK_2011__proportion__competitive_employment__24m,EACK_2011__proportion__competitive_employment__24m,R05_01,proportion,TRUE,NA,FALSE
9,R05,EACK_2011,eack2011,10.1177/1049731509355812,EACK_2011,EACK_2011__trial_binary__competitive_employment__24m,EACK_2011__trial_binary__competitive_employment__24m,R05_02,trial_binary,NA,non_vocational_rct,FALSE
10,R11,ERICKSON_2021,erickson2021,10.1111/eip.13005,ERICKSON_2021,ERICKSON_2021__proportion__competitive_employment__12m,ERICKSON_2021__proportion__competitive_employment__12m,R11_01,proportion,FALSE,NA,FALSE
11,R11,ERICKSON_2021,erickson2021,10.1111/eip.13005,ERICKSON_2021,ERICKSON_2021__trial_binary__competitive_employment__12m,ERICKSON_2021__trial_binary__competitive_employment__12m,R11_02,trial_binary,NA,primary,FALSE
12,R24,FOWLER_2019,fowler2019,10.1016/j.schres.2017.10.006,FOWLER_2019,FOWLER_2019__proportion__paid_work__24m,FOWLER_2019__proportion__paid_work__24m,R24_01,proportion,FALSE,NA,FALSE
