study_key,first_author,print_year,title,journal,volume_issue_pages,doi,pmid_or_pmcid,filename,pages,role,verification_method,verified_date,notes
abdelbaki2013,Abdel-Baki,2013,Resumption of work or studies after first-episode psychosis: the impact of vocational case management,Early Intervention in Psychiatry,7:391-398,10.1111/eip.12021,not_found,Abdel-Baki et al (2013) Resumption of work or studies after ﬁrst-episodepsychosi.pdf,8,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Print year 2013 confirmed by citation line 'Early Intervention in Psychiatry 2013; 7: 391-398' on page 1. Matches included_studies_45.csv study_key abdelbaki2013 (Abdel-Baki et al. (2013)). Derived-data study_id_clean: ABDELBAKI_2013 (in_primary_set=TRUE in employment-early-psychosis/data/derived/prevalence.csv, one of the strict k=10 competitive-employment point-prevalence set)."
andersen2024,Andersen,2024,Vocational functioning in young people accessing services for first-episode psychosis and ultra-high risk of psychosis: A longitudinal naturalistic cohort study,Australian & New Zealand Journal of Psychiatry,58(10):875-884,10.1177/00048674241261778,not_found,Andersen et al (2024) Vocational functioning in young people accessing services for first-episode psychosis.pdf,10,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Print year 2024 confirmed by 'Australian & New Zealand Journal of Psychiatry 2024, Vol. 58(10) 875-884' on page 1. Matches included_studies_45.csv study_key andersen2024. Derived-data study_id_clean: ANDERSEN_2024 (in_primary_set=TRUE, one of the strict k=10 set)."
bond2016,Bond,2016,Effectiveness of individual placement and support supported employment for young adults,Early Intervention in Psychiatry,10:300-307,10.1111/eip.12175,not_found,Bond Drake Campbell 2016 Early Intervention Psych - 2014 - Bond - Effectiveness of individual placement and support supported employment for young.pdf,8,background_review,first_page_text_pymupdf,2026-09-02,"Online and print years differ: received 6 Aug 2013, accepted 22 June 2014; page 1 shows both an online-first citation 'Early Intervention in Psychiatry 2014; --: -----' (doi:10.1111/eip.12175) and, immediately below, the print citation 'Early Intervention in Psychiatry 2016; 10: 300-307'. Print year taken as 2016 by convention. A malformed OCR artifact 'doi:10.1111/eip.--' also appears adjacent to the correct DOI on the same line; the correct DOI 10.1111/eip.12175 is used. By convention this is a background review (not one of the 45 included studies), study_key set to bond2016. Not present in included_studies_45.csv or derived prevalence.csv (background review, no study_id_clean)."
bond2015,Bond,2015,Employment and educational outcomes in early intervention programmes for early psychosis: a systematic review,Epidemiology and Psychiatric Sciences,24:446-457,10.1017/S2045796014000419,not_found,Bond Drake Luciano 2015 employment-and-educational-outcomes-in-early-intervention-programmes-for-early-psychosis-a-systematic-review.pdf,12,background_review,first_page_text_pymupdf,2026-09-02,"Print year 2015 confirmed by 'Epidemiology and Psychiatric Sciences (2015), 24, 446-457' on page 1. First published online 14 July 2014 (per received/accepted dates and 'Published online by Cambridge University Press' notice); no separate stated online-first year distinct from what is printed as (2015); only discrepancies visible in the PDF are recorded, so none is recorded here. By convention this is a background review, study_key set to bond2015. Not present in included_studies_45.csv or derived prevalence.csv."
chan2020,Chan,2020,Ten-year employment patterns of patients with first-episode schizophrenia-spectrum disorders: comparison of early intervention and standard care services,The British Journal of Psychiatry,217:491-497,10.1192/bjp.2019.161,not_found,Chan 2020.pdf,7,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2020 confirmed by 'The British Journal of Psychiatry (2020) 217, 491-497' on page 1. Matches included_studies_45.csv study_key chan2020 (quality_tool EPHPP, quality_global Strong), but in_meta_analysis=no in that file, so no row in employment-early-psychosis/data/derived/prevalence.csv (no matching study_id_clean)."
chua2019,Chua,2019,First-episode psychosis and vocational outcomes: A predictive model,Schizophrenia Research,211:63-68,10.1016/j.schres.2019.07.009,not_found,Chua et al (2019) First-episode psychosis and vocational outcomes.pdf,6,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2019 confirmed by 'Schizophrenia Research 211 (2019) 63-68' on page 1. Matches included_studies_45.csv study_key chua2019. Derived-data study_id_clean: CHUA_2019 (present in prevalence.csv but in_primary_set is not TRUE for this row, so role is included_study_other rather than prevalence_primary_set)."
craig2014,Craig,2014,Vocational rehabilitation in early psychosis: cluster randomised trial,The British Journal of Psychiatry,205:145-150,10.1192/bjp.bp.113.136283,not_found,Craig et al (2014) Vocational rehabilitation in early psychosis.pdf,6,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Print year 2014 confirmed by 'The British Journal of Psychiatry (2014) 205, 145-150' on page 1. Matches included_studies_45.csv study_key craig2014. Derived-data study_id_clean: CRAIG_2014 (in_primary_set=TRUE, one of the strict k=10 set)."
dienes2020,Dienes,2021,How to Use and Report Bayesian Hypothesis Tests,"Psychology of Consciousness: Theory, Research, and Practice",8(1):9-26,10.1037/cns0000258,not_found,Dienes 2020.pdf,18,methods_reference,first_page_text_pymupdf,2026-09-02,"Online and print years differ: page 1 shows an initial header '2020, Vol. 2, No. 999, 000 ... This article was published Online First August 13, 2020', immediately followed on the same page by the final print citation '2021, Vol. 8, No. 1, 9-26'. Print year is therefore 2021, not 2020. Per explicit the registry conventions the study_key is nonetheless set to dienes2020 (methods reference, not matched against included_studies_45.csv)."
dudley2014,Dudley,2014,Improving vocational outcomes of service users in an Early Intervention in Psychosis service,Early Intervention in Psychiatry,8:98-102,10.1111/eip.12043,not_found,Dudley et al (2013) Improving vocational outcomes of service usersin an Early Intervention in Psychosis service.pdf,5,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Online and print years differ: received 4 Jan 2012, accepted 15 Jan 2013 (filename uses 2013, the acceptance/online year), but printed citation on page 1 reads 'Early Intervention in Psychiatry 2014; 8: 98-102', so print_year=2014. Matches included_studies_45.csv study_key dudley2014 (Dudley et al. (2014)). Derived-data study_id_clean is DUDLEY_2014 (in_primary_set=TRUE, one of the strict k=10 set) as found in employment-early-psychosis/data/derived/prevalence.csv; the file name and the original extraction sheet use 2013, the derived data use the print year."
eack2011,Eack,2011,Effects of Cognitive Enhancement Therapy on Employment Outcomes in Early Schizophrenia: Results From a Two-Year Randomized Trial,Research on Social Work Practice,21(1):32-42,10.1177/1049731509355812,not_found,Eack et al (2011) Effects of Cognitive Enhancement Therapy on Employment Outcomes in Early Schizophrenia.pdf,17,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Print year 2011 confirmed by 'Res Soc Work Pract. 2011 January 27; 21(1): 32-42' on page 1 (NIH Public Access author manuscript; 'available in PMC 2013 July 22' but no PMCID number is stated on pages 1-2, so pmid_or_pmcid=not_found). Matches included_studies_45.csv study_key eack2011. Derived-data study_id_clean: EACK_2011 (in_primary_set=TRUE, one of the strict k=10 set)."
