study_id,author,year,country,region,design,setting,diagnosis,diagnostic_tool,n_total,pct_male,mean_age,sd_age,follow_up_months,timepoint_months,effect_type,outcome_domain,outcome_measure,outcome_definition,outcome_basis,events,n_assessed,page_source,events_intervention,n_intervention,events_control,n_control,intervention_name,comparator,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,reported_source,corrected_es,corrected_ci_low,corrected_ci_high,corrected_source,derived_RR,derived_es,derived_ci_low,derived_ci_high,pct_schizophrenia,pct_schizoaffective,pct_bipolar,pct_psychotic_depression,pct_other,diagnostic_source,illness_duration_mean,illness_duration_source,quality_tool,quality_rating_Selection Bias,quality_rating_Study Design,quality_rating_Confounders,quality_rating_Data Collection Methods,quality_rating_Withdrawals and Dropouts,quality_rating_Analyses (appropriateness),quality_rating,extractor,checker,notes
ABDELBAKI_001,Abdel-Baki,2013,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,97,78.3,23.5,/,60,12,proportion,employment,Employment (full-time or part-time),Full-time or part-time employment at 12 months,point,40,91,p.4 Figure 2,,,,,,,,,,,,,,,,,proportion,0.44,,,,,,,,,,,,,45,10,32,8,5,p.3 Results,untreated or treated for less than 1 year,p.2 Method Participants,EPHPP,Moderate,Weak,Weak,Weak,Moderate,Yes,Weak,YN,HZ,
ANDERSEN_001,Andersen,2024,Australia,Oceania,Cohort,Outpatient,FEP,CAARMS,1574,66.7,19.8,2.8,12,12,proportion,employment,Competitive employment,Working in a job (part-time or full-time) at the time of assessment,point,205,578,p.6 Table 2,,,,,,,,,,,,,,,,,proportion,0.355,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate ,Weak,Moderate,Moderate,Weak,Yes ,Weak,YN,HZ,
CHUA_001,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,proportion,employment,Meaningful employment,Gainfully employed or engaged in an age-appropriate role at 24-month endpoint,point,829,1177,p.3 Results Table 1,,,,,,,,,,,,,,,,,proportion,0.704,,,,,,,,,,,,,"76 Schizophrenia, schizophreniform, and delusional disorder",9.1 Affective psychosis,14.9 Brief psychotic disorder and psychotic disorder NOS,,,p.3 Table 1,12.4 month,p.3 Table 1,EPHPP,Moderate,Weak,Moderate,Strong,Moderate,Yes,Moderate,YN,HZ,
CRAIG_001,Craig,2014,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis,159,73,24,4.5,12,12,proportion,employment,Open employment,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,point,41,134,p.4 Table 2; Results,,,,,,,,,,,,,,,,,proportion,0.306,,,,,,,,,,,,,,,,,,,,,EPHPP,Weak,Strong,Strong,Strong,Strong,Yes,Moderate,YN,HZ,
CRAIG_002,Craig,2014,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis,159,73,24,4.5,12,12,trial_binary,employment,Open employment,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,point,,,,29,68,12,66,IPS + Motivational Interviewing (MI),IPS,,,,,,,,,,,OR,3.5,1.5,8.1,,p.4 Results,4.3,1.5,16.6,p.1 Abstract£»p.4 Results,RR,2.35,1.29,4.29,,,,,,,,,EPHPP,Weak,Strong,Strong,Strong,Strong,Yes,Moderate,YN,HZ,
DUDLEY_001,Dudley,2013,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,194,73.5,24.8,5.2,12,12,proportion,employment,Any paid employment,Full-time or part-time employment at 12-month follow-up,point,30,194,p.4 Table 2,,,,,,,,,,,,,,,,,proportion,0.155,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate,Moderate,Moderate,Moderate,Weak,Yes,Moderate,YN,HZ,
DUDLEY_002,Dudley,2013,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,194,73.5,24.8,5.2,12,12,trial_binary,employment,Any paid employment,Full-time or part-time employment at 12-month follow-up,point,,,,18,104,12,90,IPS + EIP,EIP,,,,,,,,,,,/,/,,,,,,,,,RR,1.3,,,,,,,,,,,EPHPP,Moderate,Moderate,Moderate,Moderate,Weak,Yes,Moderate,YN,HZ,
EACK_001,Eack,2011,USA,North America,RCT,Outpatient,FES,SCID,58,69,25.92,6.31,24,24,proportion,employment,Competitive employment,Paid competitive employment at 24-month follow-up,point,12,46,p.5 Results; p.6 Table 1,,,,,,,,,,,,,,,,,proportion,0.261,,,,,,,,,,,,,,,,,,,,,EPHPP ,Moderate,Strong,Strong,Strong,Moderate,Yes,Strong,YN,HZ,
EACK_002,Eack,2011,USA,North America,RCT,Outpatient,FES,SCID,58,69,25.92,6.31,24,24,trial_binary,employment,Competitive employment,Paid competitive employment at 24-month follow-up,point,,,,9,24,3,22,Cognitive Enhancement Therapy (CET),Enriched Supportive Therapy (EST),,,,,,,,,,,/,/,,,,,,,,,RR,2.75,0.85,8.87,65.5,34.5,,,,p.5 Participants,3.19 year,p.5 Participants,EPHPP ,Moderate,Strong,Strong,Strong,Moderate,Yes,Strong,YN,HZ,
ERICKSON_001,Erickson,2021,Canada,North America,RCT,Outpatient,FEP,Clinical records (BPRS used for symptom severity),109,82.6,23.05,3.4,12,0_6,proportion,employment,Competitive employment,Any competitive paid work during the 0_6 month follow-up period (at least 1 day),period,60,109,p.5 Table 2; Results,,,,,,,,,,,,,,,,,proportion,0.55,,,,,,,,,,,,,,,,,,,,,EPHPP ,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
ERICKSON_002,Erickson,2021,Canada,North America,RCT,Outpatient,FEP,Clinical records (BPRS used for symptom severity),109,82.6,23.05,3.4,12,6_12,proportion,employment,Competitive employment,Any competitive paid work during the 6_12 month follow-up period (at least 1 day),period,59,109,p.5 Table 2; Results,,,,,,,,,,,,,,,,,proportion,0.541,,,,,,,,,,,,,42.2,8.3,18.3,9.2,22,p.4 Table 1,,,EPHPP,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
ERICKSON_003,Erickson,2021,Canada,North America,RCT,Outpatient,FEP,Clinical records (BPRS used for symptom severity),109,82.6,23.05,3.4,12,6_12,trial_binary,employment,Competitive employment,Any competitive paid work during the 6_12 month follow-up period,period,,,,34,56,25,53,IPS + TAU,TAU,,,,,,,,,,,/,/,,,0.02,,,,,,RR,1.29,0.9,1.83,,,,,,,,,EPHPP,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
FOWLER_001,Fowler,2019,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis£¨SCID/clinical assessment£©,77,/,25,/,24,24,proportion,employment,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),period,9,29,p.4 Table 1; Results,,,,,,,,,,,,,,,,,proportion,0.31,,,,,,,,,,,,,,,,,,,,,EPHPP ,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
FOWLER_002,Fowler,2019,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis£¨SCID/clinical assessment£©,77,/,25,/,24,24,trial_binary,employment,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),period,,,,9,29,6,37,SRT + TAU,TAU,,,,,,,,,,,/,/,,,0.15,p.4 Table 1,,,,,RR,1.91,0.77,4.76,,,,,,p.3 Fig. 1; p.4 Table 1,,,EPHPP ,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
