study_id,author,year,country,region,design,setting,diagnosis,diagnostic_tool,n_total,pct_male,mean_age,sd_age,follow_up_months,timepoint_months,effect_type,outcome_domain,outcome_measure,outcome_definition,outcome_basis,events,n_assessed,events_intervention,n_intervention,events_control,n_control,intervention_name,comparator,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,quality_tool,quality_rating,page_source,extractor,checker,notes
ABDELBAKI_002,Abdel-Baki,2013,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,97,78.3,23.5,/,60,12,proportion,employment,Competitive employment,Paid employment /occupation at 12 months,point,55,97,,,,,,,,,,,,,,,,,proportion,0.567,,,,EPHPP,Weak,p.3 Figure 3,YN,HZ,
ANDERSEN_001,Andersen,2024,Australia,Oceania,Cohort,Outpatient,FEP,CAARMS,1574,66.7,19.8,2.8,12,12,proportion,employment,Competitive employment,Working in a job (part-time or full-time) at the time of assessment,point,205,578,,,,,,,,,,,,,,,,,proportion,0.355,,,,EPHPP,Weak,p.6 Table 2,YN,HZ,
CHUA_001,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,proportion,employment,Meaningful employment,Gainfully employed or engaged in an age-appropriate role at 24-month endpoint,point,829,1177,,,,,,,,,,,,,,,,,proportion,0.704,,,,EPHPP,Moderate,p.3 Results,YN,HZ,
CRAIG_001,Craig,2014,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis,159,73,24,4.5,12,12,proportion,employment,Open employment,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,point,41,159,,,,,,,,,,,,,,,,,proportion,0.258,,,,EPHPP,Moderate,p.4 Table 2,YN,HZ,
CRAIG_002,Craig,2014,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis,159,73,24,4.5,12,12,trial_binary,employment,Open employment,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,point,,,29,68,12,66,IPS + Motivational Interviewing (MI),IPS,,,,,,,,,,,RR,2.39,1.5,16.6,p < 0.05,EPHPP,Moderate,p.4 Table 2 and Results,YN,HZ,
DUDLEY_001,Dudley,2013,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,194,73.5,24.8,5.2,12,12,proportion,employment,Any paid employment,Full-time or part-time employment at 12-month follow-up,point,30,194,,,,,,,,,,,,,,,,,proportion,0.155,,,,EPHPP,Moderate,p.4 Table 2,YN,HZ,
DUDLEY_002,Dudley,2013,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,194,73.5,24.8,5.2,12,12,trial_binary,employment,Any paid employment,Full-time or part-time employment at 12-month follow-up,point,,,18,104,12,90,IPS + EIP,EIP,,,,,,,,,,,RR,1.3,,,,EPHPP,Moderate,p.4 Results,YN,HZ,
EACK_001,Eack,2011,USA,North America,RCT,Outpatient,FES,SCID,58,69,25.92,6.31,24,24,proportion,employment,Competitive employment,Paid competitive employment at 12-month follow-up,point,12,46,,,,,,,,,,,,,,,,,proportion,0.261,,,,EPHPP ,Strong,p.16 Table 1,YN,HZ,
EACK_002,Eack,2011,USA,North America,RCT,Outpatient,FES,SCID,58,69,25.92,6.31,24,24,trial_binary,employment,Competitive employment,Paid competitive employment at 24-month follow-up,point,,,9,24,3,22,Cognitive Enhancement Therapy (CET),Enriched Supportive Therapy (EST),,,,,,,,,,,RR,2.75,,,,EPHPP ,Strong,p.16 Table 1,YN,HZ,
ERICKSON_001,Erickson,2021,Canada,North America,RCT,Outpatient,FEP,Clinical records (BPRS used for symptom severity),109,82.6,23.05,3.4,12,12,proportion,employment,Competitive employment,Any competitive paid work during the 6_12 month follow-up period (at least 1 day),period,59,97,,,,,,,,,,,,,,,,,proportion,0.608,,,,EPHPP,Strong,p.5 Table 2,YN,HZ,
ERICKSON_002,Erickson,2021,Canada,North America,RCT,Outpatient,FEP,Clinical records (BPRS used for symptom severity),109,82.6,23.05,3.4,12,12,trial_binary,employment,Competitive employment,Any competitive paid work during the 6_12 month follow-up period,period,,,34,47,25,50,IPS + TAU,TAU,,,,,,,,,,,RR,1.45,,,,EPHPP,Strong,p.5 Table 2,YN,HZ,
FOWLER_001,Fowler,2019,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis£¨SCID/clinical assessment£©,77,/,25,/,24,24,proportion,employment,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),period,5,44,,,,,,,,,,,,,,,,,proportion,0.114,,,,EPHPP ,Strong,p.4 Table 1,YN,HZ,
FOWLER_002,Fowler,2019,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis£¨SCID/clinical assessment£©,77,/,25,/,24,24,trial_binary,employment,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),period,,,5,20,0,24,SRT + TAU,TAU,,,,,,,,,,,RR,13.15,,,0.03,EPHPP ,Strong,p.4 Table 1,YN,HZ,
HEGELSTAD_001,Hegelstad,2018,Norway,Europe,Cohort,Outpatient,FEP,SCID,66,45.5,21.5,4.5,12,12,proportion,employment,Competitive employment,Competitive employment >20h/wk at 1-year follow-up,point,16,60,,,,,,,,,,,,,,,,,proportion,0.267,,,,EPHPP,Strong,p.5 Table 2,YN,HZ,
HEGELSTAD_002,Hegelstad,2018,Norway,Europe,Cohort,Outpatient,FEP,SCID,66,45.5,21.5,4.5,12,12,trial_binary,employment,Competitive employment,Competitive employment >20h/wk at 1-year follow-up,point,,,14,30,2,30,Job- and SchoolPrescription£¨IPS adaptation£©,Generic employment/educational services,,,,,,,,,,,RR,7,,,,EPHPP,Strong,p.5 Table 2 3,YN,HZ,
HUMENSKY_001,Humensky,2017,USA,North America,Cohort,Outpatient,FEP,SCID/DSM-IV,65,65,22.3,4.8,24,12,proportion,employment,Work only,Working but not in school at 12-month follow-up ,period,12,43,,,,,,,,,,,,,,,,,proportion,0.27,,,,EPHPP ,Weak,p.2 Figure 2,YN,HZ,
KILLACKEY_001,Killackey,2008,Australia,Oceania,RCT,Outpatient,FEP,SCID,41,80.5,21.4,2.3,6,6,proportion,employment,Competitive employment,Obtained competitive employment during 6-month follow-up period,period,15,41,,,,,,,,,,,,,,,,,proportion,0.366,,,,EPHPP,Strong,p.4 Results,YN,HZ,
KILLACKEY_002,Killackey,2008,Australia,Oceania,RCT,Outpatient,FEP,SCID,41,80.5,21.4,2.3,6,6,trial_binary,employment,Competitive employment,Obtained competitive employment during 6-month follow-up period,period,,,13,20,2,21,IPS + TAU,TAU,,,,,,,,,,,RR,6.84,,,p<0.001,EPHPP,Strong,p.4 Results,YN,HZ,
KILLACKEY_001,Killackey,2019,Australia,Oceania,RCT,Outpatient,FEP,SCID,146,69.2,20.4,2.4,12,12,proportion,employment,Competitive employment,Worked at least 1 day in paid employment during 6_12 month follow-up period,period,76,126,,,,,,,,,,,,,,,,,proportion,0.603,,,,EPHPP,Strong,"Figure 1, p.3 Results",YN,HZ,
KILLACKEY_002,Killackey,2019,Australia,Oceania,RCT,Outpatient,FEP,SCID,146,69.2,20.4,2.4,18,6,trial_binary,employment,Competitive employment,Worked at least 1 day in paid employment during 0_6 month follow-up period,period,,,47,66,29,60,IPS + TAU,TAU,,,,,,,,,,,RR,1.47,1.09,1.99,0.025,EPHPP,Strong,p.3 Results,YN,HZ,
LIN_001,Lin,2026,Asia-Pacific,Asia,Cohort,Outpatient,FES,DSM-IV,474,65.6,28.6,7.9,18,12,proportion,employment,Competitive employment,Full- or part-time employment at 12-month follow-up,point,119,280,,,,,,,,,,,,,,,,,proportion,0.42,,,,EPHPP,Weak,p.3 Figure 1,YN,HZ,
MAJOR_001,Major,2010,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,114,62.3,24,4.6,12,12,proportion,employment,Competitive employment,Gained or returned to competitive employment at any point during the 12-month follow-up period,period,29,114,,,,,,,,,,,,,,,,,proportion,0.254,,,,EPHPP,Strong,p.5 Table 2,YN,HZ,
MAJOR_002,Major,2010,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,114,62.3,24,4.6,12,12,trial_binary,employment,Competitive employment,Gained or returned to competitive employment at any point during the 12-month follow-up period,period,,,16,44,13,70,VIBE£¨Specialist vocational intervention£©,TAU£¨EIS without VIBE£©,,,,,,,,,,,RR,1.96,1.04,3.68,,EPHPP,Strong,"p.6 Table 4, Results",YN,HZ,
NUECHTERLEIN_001,Nuechterlein,2020,USA,North America,RCT,Outpatient,FES,SCID,69,67,24.6,4,18,18,proportion,employment,Competitive employment,Competitive employment during at least part of the 7_18 month period,period,30,51,,,,,,,,,,,,,,,,,proportion,0.588,,,,EPHPP,Strong,p.8 Figure 4,YN,HZ,
NUECHTERLEIN_002,Nuechterlein,2020,USA,North America,RCT,Outpatient,FES,SCID,69,67,24.6,4,18,18,trial_binary,employment,Competitive employment,Competitive employment during at least part of the 7_18 month period,period,,,25,36,5,15,IPS + WFM,BVR + social skills training,,,,,,,,,,,RR,2.08,,,0.02,EPHPP,Strong,p.8 Figure 4,YN,HZ,
POTHIER_001,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,proportion,employment,Competitive employment,Full-time competitive occupation at 6-month follow-up,point,11,27,,,,,,,,,,,,,,,,,proportion,0.407,,,,EPHPP,Moderate,p.4 Results,YN,HZ,
RINALDI_001,Rinaldi,2004,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,40,72,21,/,12,12,proportion,employment,Open employment,Competitive open employment at 12-month follow-up,point,9,22,,,,,,,,,,,,,,,,,proportion,0.409,,,,EPHPP ,Weak,p.3 Table 2,YN,HZ,
RINALDI_001,Rinaldi,2010,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,166,69,22,3.24,24,12,proportion,employment,Open employment,Competitive open employment at 12-month follow-up,point,62,142,,,,,,,,,,,,,,,,,proportion,0.437,,,,EPHPP,Weak,p.5 Table II,YN,HZ,
ROSENHECK_001,Rosenheck,2017,USA,North America,Cohort,Outpatient,FEP,Clinical diagnosis,404,72,23,/,24,12,proportion,employment,Any participation in work,Any paid employment at 12-month follow-up,point,64,282,,,,,,,,,,,,,,,,,proportion,0.227,,,,EPHPP ,Strong,p.6 Table 1,YN,HZ,
ROSENHECK_002,Rosenheck,2017,USA,North America,Cohort,Outpatient,FEP,Clinical diagnosis,404,72,23,/,24,24,trial_binary,employment,Any participation in work,Any paid employment at 24-month follow-up,point,,,30,144,21,83,NAVIGATE,Community Care,,,,,,,,,,,RR,0.82,,,,EPHPP ,Strong,"Table 1, p.4 Results",YN,HZ,
TAPFUMANEYI_001,Tapfumaneyi,2014,UK,Europe,Cohort,Outpatient,FEP,ICD-10,1013,65.3,23.3 ,4.84,12,12,proportion,employment,Paid employment,Engaged in paid work£¨full or part-time£©at any point during the 1-year follow-up period,period,211,1013,,,,,,,,,,,,,,,,,proportion,0.208,,,,EPHPP,Moderate,p.4 Results,YN,HZ,
TURNER_001,Turner,2019,Ireland,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,39,51.3,38,10,18,18,proportion,employment,Paid employment,At least one month of paid employment during the follow-up period ,period,21,34,,,,,,,,,,,,,,,,,proportion,0.618,,,,EPHPP,Weak,p.6 Results,YN,HZ,
VANDUIN_001,van Duin,2021,Netherlands,Europe,RCT,Outpatient,FEP,DSM-IV,73,71,27.05,5.6,18,18,proportion,employment,Competitive employment,In competitive employment at 18-month follow-up,point,25,56,,,,,,,,,,,,,,,,,proportion,0.446,,,,EPHPP,Moderate,p.5 Table 2,YN,HZ,
VANDUIN_002,van Duin,2021,Netherlands,Europe,RCT,Outpatient,FEP,DSM-IV,73,71,27.05,5.6,18,18,trial_binary,employment,Competitive employment,In competitive employment at 18-month follow-up,point,,,18,29,7,27,IPS + Cognitive Remediation£¨CR£©,IPS + control (computer games),,,,,,,,,,,RR,2.4,,,,EPHPP,Moderate,p.5 Table 2,YN,HZ,
WILLIAMS_002,Williams,2016,Australia,Oceania,Cohort,Outpatient,FEP,Clinical diagnosis,11,54.5,21.5,2,6,6,proportion,employment,Job retention,Maintaining original competitive employment at 6-month follow-up,point,2,11,,,,,,,,,,,,,,,,,proportion,0.182,,,,EPHPP,Weak,p.4 Table 3,YN,HZ,
CHUA_002,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,smd,symptoms,PANSS total,PANSS total score at 24 months,,,,,,,,,,,,Meaningfully employed at 24 months,65.8,17.3,829,Unemployed at 24 months,69.9,17.5,348,,,,,,EPHPP,Moderate,p.3 Table 1,YN,HZ,
CHUA_003,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,smd,symptoms,PANSS negative,PANSS negative subscale score at 24 months,,,,,,,,,,,,Meaningfully employed at 24 months,12.3,6.6,829,Unemployed at 24 months,15.1,8.1,348,,,,,,EPHPP,Moderate,p.3 Table 1,YN,HZ,
CHUA_004,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,smd,functioning,GAF disability,GAF disability subscale score at 24 months,,,,,,,,,,,,Meaningfully employed at 24 months,46.2,13.5,829,Unemployed at 24 months,43.3,12.4,348,,,,,,EPHPP,Moderate,p.3 Table 1,YN,HZ,
LIN_002,Lin,2026,Asia-Pacific,Asia,Cohort,Outpatient,FES,DSM-IV,474,65.6,28.6,7.9,18,18,correlation,symptoms,PANSS remission,PANSS remission at month 18,,,,,,,,,,0.18,280,,,,,,,,,,,,,,EPHPP,Weak,p.5 Table 2D,YN,HZ,
LIN_003,Lin,2026,Asia-Pacific,Asia,Cohort,Outpatient,FES,DSM-IV,474,65.6,28.6,7.9,18,18,correlation,functioning,PSP remission,PSP score >70 at month 18£¨functional remission£©,,,,,,,,,,0.332,280,,,,,,,,,,,,,,EPHPP,Weak,p.5 Table 2D,YN,HZ,
POTHIER_002,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Working memory£¨MCCB£©,MATRICS Consensus Cognitive Battery _ working memory domain T-score at baseline,,,,,,,,,,0.38,27,,,,,,,,,,,,,,EPHPP,Moderate,p.5 Table 3,YN,HZ,
POTHIER_003,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Speed of processing£¨MCCB£©,MATRICS Consensus Cognitive Battery _ speed of processing domain T-score at baseline,,,,,,,,,,0.39,27,,,,,,,,,,,,,,EPHPP,Moderate,p.5 Table 3,YN,HZ,
POTHIER_004,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Attention / vigilance£¨MCCB£©,MATRICS Consensus Cognitive Battery _ attention/vigilance domain T-score at baseline,,,,,,,,,,0.36,27,,,,,,,,,,,,,,EPHPP,Moderate,p.5 Table 3,YN,HZ,
POTHIER_005,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Global cognition£¨MCCB£©,MATRICS Consensus Cognitive Battery _ global cognitive index composite T-score at baseline,,,,,,,,,,0.32,27,,,,,,,,,,,,,,EPHPP ,Moderate,p.5 Table 3,YN,HZ,
