path,class,note
data/derived/all_rows_clean.csv,identical,
data/derived/corrections.csv,identical,
data/derived/prevalence.csv,identical,
data/derived/reconciliation.csv,identical,
data/derived/recovery.csv,identical,
data/derived/trial_arms.csv,identical,
data/derived/trials.csv,identical,
output/bayesian/metaregression_contrasts.csv,identical,
output/bayesian/metaregression_diagnostics.csv,UNEXPECTED,new columns ['attempt_id']; shared columns identical
output/bayesian/prevalence_diagnostics.csv,UNEXPECTED,new columns ['attempt_id']; shared columns identical
output/bayesian/prevalence_leave_one_out.csv,identical,
output/bayesian/prevalence_primary_draws.csv,whitelisted_new_columns,"new columns ['.chain', '.draw', '.iteration', 'model_id']; shared columns identical"
output/bayesian/prevalence_primary_study_effects.csv,identical,
output/bayesian/prevalence_summary.csv,identical,
output/bayesian/trials_bridge_bf.csv,stochastic,bf_bridge: max|d|=0.254 textdiff=0
output/bayesian/trials_diagnostics.csv,UNEXPECTED,new columns ['attempt_id']; shared columns identical
output/bayesian/trials_exact_binomial.csv,identical,
output/bayesian/trials_input_effects.csv,identical,
output/bayesian/trials_primary_draws.csv,whitelisted_new_columns,"new columns ['.chain', '.draw', '.iteration', 'model_id']; shared columns identical"
output/bayesian/trials_summary.csv,identical,
output/figures/fig1_forest_prevalence.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/fig2_forest_trials.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/fig3_dienes.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/figS1_prior_sensitivity.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/figS2_tau_posteriors.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/funnel_registered_logit.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_ABDELBAKI_2013.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_ANDERSEN_2024.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_CRAIG_2014.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_DUDLEY_2014.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_EACK_2011.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_HEGELSTAD_2019.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_POTHIER_2019.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_RINALDI_2010.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_ROSENHECK_2017.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_loo_VANDUIN_2021.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_primary_strict_point_hn1.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_secondary_period_hn1.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_sens_legacy_k23.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_sens_point_relaxed_k14.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
output/figures/ppc_prevalence_sens_prior_hn05.pdf,figure_bytes_differ,PDF bytes differ (timestamps or seeded PPC); not promoted this session
