study_id_clean,shrunken,shrunken_low,shrunken_high,study_label,region,events,n_assessed,quality_rating,observed,observed_low,observed_high
ABDELBAKI_2013,0.5402145728881147,0.4430967028450511,0.6359215117324329,Abdel-Baki 2013,North America,55,97,Weak,0.5670103092783505,0.4676429215534047,0.6624448330718559
ANDERSEN_2024,0.35407800587183735,0.31610453635592434,0.3936706498242013,Andersen 2024,Oceania,205,578,Weak,0.3546712802768166,0.3164723515135955,0.39432155567057947
CRAIG_2014,0.30951757379705924,0.23888702253389138,0.38593816777631634,Craig 2014,Europe,41,134,Moderate,0.30597014925373134,0.2327185729535258,0.3875011574264835
DUDLEY_2014,0.16965863648467058,0.12181306413360304,0.22528860453391147,Dudley 2014,Europe,30,194,Moderate,0.15463917525773196,0.1090274914692202,0.21046138744357812
EACK_2011,0.3613911151220436,0.24964495697174915,0.4892633569531081,Eack 2011,North America,17,46,Strong,0.3695652173913043,0.24143680577044413,0.5135386418968424
HEGELSTAD_2019,0.2912537879198598,0.19507555497981513,0.40435510768845445,Hegelstad 2019,Europe,16,57,Strong,0.2807017543859649,0.1769826021591661,0.4060543717696209
POTHIER_2019,0.3851514130166972,0.24428942093989203,0.5526858344542468,Pothier 2019,North America,11,27,Moderate,0.4074074074074074,0.23922450711721713,0.5942923911648267
RINALDI_2010,0.42713070920139273,0.3518335257610629,0.5058509454050562,Rinaldi 2010,Europe,62,142,Weak,0.43661971830985913,0.35700554642738724,0.5187883289946337
ROSENHECK_2017,0.23282550704015487,0.1868769344032358,0.284147509328428,Rosenheck 2017,North America,64,282,Strong,0.22695035460992907,0.18101036711255966,0.2784616457148025
VANDUIN_2021,0.4249931262070423,0.3119525740891871,0.5472514334208813,van Duin 2021,Europe,25,56,Moderate,0.44642857142857145,0.32165509191249914,0.5765824764287153
