model,k,estimate,ci_low,ci_high,link_mean,link_sd,tau_scale,tau_median,tau_low,tau_high,pi_low,pi_high,p_below_50
primary_strict_point_hn1,10,0.3441908537705211,0.25869104758695177,0.4476877818721216,-0.6434378852441875,0.21183107134718918,1,0.5731275,0.3460916,1.0507615,0.1215450645251274,0.6634979093112336,0.9956875
secondary_period_hn1,9,0.3913233438393934,0.2469426525581988,0.5539959021108615,-0.44070233221775623,0.3349867471836831,1,0.9127675,0.562348675,1.6162254999999999,0.07094597082001033,0.8448603747432715,0.914
sens_prior_hn05,10,0.34357331225809984,0.26361745067930015,0.4369626917349594,-0.6460802156687501,0.1945158737720789,0.5,0.537487,0.332422825,0.90118215,0.13854189629025165,0.6412011252380244,0.998375
sens_prior_hn2,10,0.34493183074420763,0.25883293411988756,0.45019733853726523,-0.6365750407815125,0.21366801527582194,2,0.5895524999999999,0.35272795,1.1246682499999987,0.11815071085477252,0.6840752840858264,0.995125
sens_point_relaxed_k14,14,0.37431051751302974,0.2820011489991128,0.47392901575034596,-0.5165237635052562,0.20971714645997128,1,0.6785464999999999,0.457544275,1.0863334999999998,0.1156090688436439,0.7246322091524181,0.9911875
sens_legacy_k23,23,0.3793767360124531,0.30310315676051763,0.4586505717683899,-0.4939534550888125,0.16811724436201023,1,0.738429,0.543007275,1.0584525,0.11309651756950401,0.7413763232675553,0.9976875
sens_strict_excl_weak,7,0.29469622843578713,0.20703499746004872,0.41536906073114793,-0.8633058126737501,0.2501060684333265,1,0.524123,0.2532147,1.1387557499999998,0.10337660847277137,0.6272613463488547,0.9965625
sens_strict_excl_exposed,7,0.3265707114389836,0.21186477206712653,0.4708475274460094,-0.719663703629,0.2983154186415367,1,0.680376,0.376841725,1.3437052499999997,0.08335280470268802,0.7281054297714303,0.988
sens_strict_missing_not_employed_bound,10,0.2762746479936117,0.19199122513638414,0.38708109315709177,-0.958990738324375,0.24624065712107387,1,0.704564,0.4464641,1.2277507499999998,0.07162227562737102,0.6639507239532455,0.9993125
sens_strict_normal_normal_hn1,10,0.34373571263984914,0.2573968454763126,0.4426204858773942,-0.643001153525625,0.20754122915050446,1,0.57351,0.34123734999999994,1.03142175,0.12150692384850932,0.669146284811162,0.9968125
