model,max_rhat,min_ess_bulk,min_ess_tail,divergences,max_treedepth,min_ebfmi,passes_gate,attempt_id
primary_k3_hn05,1.0012816836675569,3031.495217833364,3492.56827600712,0,7,0.7967377539410022,TRUE,1
sens_prior_hn025,1.0002675415490723,5052.5964731824515,4628.909842951405,0,6,0.8714184663516338,TRUE,1
sens_prior_hn1,1.0017625829984238,2756.1781688637093,3179.018755787088,0,7,0.6653012394911476,TRUE,1
sens_k4_hn05,1.0023301656696442,3471.6961772950776,4816.47885403277,0,7,0.8109579771098604,TRUE,1
sens_k3_missing_not_employed,1.0010434133000172,3112.5232268625173,4033.707313295021,0,7,0.7719898490033329,TRUE,1
sens_k4_missing_not_employed,1.0009665987671879,3556.4677881842194,4293.336489202968,0,6,0.7400188391858005,TRUE,1
loo_ERICKSON_2021,1.0010899579491708,3639.131206704086,3672.704262885764,0,6,0.8151434050145075,TRUE,1
loo_KILLACKEY_2008,1.0015116819373497,2940.9951172573064,2136.8394382875567,0,6,0.8435878209250577,TRUE,1
loo_KILLACKEY_2019,1.0005671182192755,3881.2505722163073,3705.0077825331423,0,7,0.8636433350403441,TRUE,1
exact_binomial_k3,1.0010084490378148,4839.80400512485,4600.290034881911,0,6,0.8857757809456511,TRUE,1
exact_binomial_k4,1.0003595378931174,5405.332808958961,6926.058513356918,0,6,0.9031419930944972,TRUE,1
bf_h0_hn05,1.0003365771012904,2899.521225937458,4180.858526840299,0,6,0.636538049789083,TRUE,1
bf_h1_primary_log2,1.0007480887154385,3158.500014975603,3272.745555142751,0,7,0.7061665956754261,TRUE,1
bf_h1_frederick_published,1.0008977439289173,3507.435853724411,2388.53313459482,0,7,0.749322408145861,TRUE,1
bf_h1_bond2015,1.0007190479031298,3404.216498596062,2457.8441124716314,0,6,0.7617094464916335,TRUE,1
bf_h1_bond2016,1.0009923318227025,3453.7339002165063,3590.656638502525,0,6,0.7359230369080775,TRUE,1
bf_h1_modini2016,1.002512036437204,2897.944639405585,3423.4119797995672,0,6,0.6955890295308236,TRUE,1
