input_set,study_id_clean,study_label,yi,sei
primary_k3,ERICKSON_2021,Erickson 2021,0.36936010346604814,0.16773541355718982
primary_k3,KILLACKEY_2008,Killackey 2008,1.9205923410710235,0.6923178672430962
primary_k3,KILLACKEY_2019,Killackey 2019,0.3875415919192597,0.15472935257147782
primary_k3_missing,ERICKSON_2021,Erickson 2021,0.25242492256493315,0.18079462746563463
primary_k3_missing,KILLACKEY_2008,Killackey 2008,1.9205923410710235,0.6923178672430962
primary_k3_missing,KILLACKEY_2019,Killackey 2019,0.4828517717235846,0.16841049281858272
sensitivity_k4,ERICKSON_2021,Erickson 2021,0.36936010346604814,0.16773541355718982
sensitivity_k4,KILLACKEY_2008,Killackey 2008,1.9205923410710235,0.6923178672430962
sensitivity_k4,KILLACKEY_2019,Killackey 2019,0.3875415919192597,0.15472935257147782
sensitivity_k4,NUECHTERLEIN_2020,Nuechterlein 2020,0.7339691750802004,0.3815174380753199
sensitivity_k4_missing,ERICKSON_2021,Erickson 2021,0.25242492256493315,0.18079462746563463
sensitivity_k4_missing,KILLACKEY_2008,Killackey 2008,1.9205923410710235,0.6923178672430962
sensitivity_k4_missing,KILLACKEY_2019,Killackey 2019,0.4828517717235846,0.16841049281858272
sensitivity_k4_missing,NUECHTERLEIN_2020,Nuechterlein 2020,0.9162907318741551,0.4180701002172389
