model,term,estimate,se,ci_low,ci_high,p_value
outcome_basis,intrcpt,-0.446891649645752,0.2594832862618111,-0.9865166842312503,0.09273338493974626,0.0997243043225389
outcome_basis,outcome_basispoint,-0.06484015564344885,0.33216126856489064,-0.7556073284333047,0.6259270171464071,0.8471073492517976
design,intrcpt,-0.5756999879048157,0.19765889910225234,-0.9867541710114913,-0.16464580479814006,0.00832374543733411
design,designRCT,0.25999374794052,0.33599792832925485,-0.4387521956128173,0.9587396914938573,0.44767568911035827
region,intrcpt,0.28986558086335895,0.472733366924899,-0.6995767274318843,1.279307889158602,0.5470350514592535
region,regionEurope,-1.1195957293345467,0.5244425009772052,-2.2172664990338906,-0.02192495963520269,0.04601706664392124
region,regionNorth America,-0.5729511598029816,0.5448133442720208,-1.7132585945269567,0.5673562749209936,0.30615380655130703
region,regionOceania,-0.6937817172360121,0.6027510318242676,-1.9553541256636326,0.5677906911916084,0.26400174714641705
timepoint_months,intrcpt,-0.7534422375161961,0.4485313633701844,-1.6862142705754135,0.1793297955430213,0.10781397296111957
timepoint_months,timepoint_months,0.019988960409609006,0.031284177324265805,-0.045070047874849924,0.08504796869406794,0.5297649551236312
