model,interval,k,estimate,ci_low,ci_high,pi_low,pi_high,tau2,tau,I2,Q,Q_p
legacy_k23_as_submitted,knha,23,0.37245632446205956,0.2978439661691772,0.4536829011526993,0.11223307507110528,0.7358957436665734,0.5298008742594952,0.7278742159600758,95.16142327428257,724.9900694145828,4.128369944029541e-139
legacy_k23_as_submitted,wald,23,0.37245632446205956,0.30141250122056307,0.4494714933531706,0.12094553896432358,0.7191237994551523,0.5298008742594952,0.7278742159600758,95.16142327428257,724.9900694145828,4.128369944029541e-139
legacy_k23_corrected,knha,23,0.38095993628436386,0.3070599715990949,0.4608177090366961,0.1200264748621189,0.7352117149343282,0.5027478986109224,0.7090471765763703,94.91249352090688,709.8465302990234,6.497432682263437e-136
legacy_k23_corrected,wald,23,0.38095993628436386,0.3106886357543878,0.45659708290975815,0.12902020451470758,0.7188366262392668,0.5027478986109224,0.7090471765763703,94.91249352090688,709.8465302990234,6.497432682263437e-136
point_relaxed_k14,knha,14,0.37602881267089405,0.2895607612572418,0.47119229468817403,0.12444622061435416,0.7187169338313328,0.4143315827095917,0.6436859348390267,94.33866123628421,425.32396686609775,9.919129210009573e-83
point_relaxed_k14,wald,14,0.37602881267089405,0.29476073495119215,0.4649317526676805,0.13942921726846622,0.6915044044080005,0.4143315827095917,0.6436859348390267,94.33866123628421,425.32396686609775,9.919129210009573e-83
strict_point_primary,knha,10,0.34275397337199853,0.2576248322557743,0.4393647283300112,0.1277128104625469,0.6500465036535523,0.28290733085519876,0.531890337245563,89.34135174821515,74.86528026230148,1.680102479021741e-12
strict_point_primary,wald,10,0.34275397337199853,0.2668995913983076,0.42759241357516886,0.1475769702008583,0.6110295706799251,0.28290733085519876,0.531890337245563,89.34135174821515,74.86528026230148,1.680102479021741e-12
period_k9,knha,9,0.3887195782520508,0.2381969680223483,0.5639466109106639,0.07099142545276904,0.8410636667963152,0.7495081260768147,0.8657413736658395,94.36851509466543,166.91732805560133,5.705952727694919e-32
period_k9,wald,9,0.3887195782520508,0.25950021351711244,0.5357321361319937,0.09525427023770963,0.7934271986493564,0.7495081260768147,0.8657413736658395,94.36851509466543,166.91732805560133,5.705952727694919e-32
legacy_excluding_weak,knha,15,0.36241826608469957,0.26243171484649364,0.4759188340822748,0.08591326372128034,0.7746611140606441,0.6563877991241387,0.8101776343025884,96.02920980214273,678.1394544281827,1.1912985267146717e-135
legacy_excluding_weak,wald,15,0.36241826608469957,0.2699517439794971,0.4663261539514255,0.0988570321921673,0.746536035802133,0.6563877991241387,0.8101776343025884,96.02920980214273,678.1394544281827,1.1912985267146717e-135
strict_point_excluding_weak,knha,7,0.2944760324856386,0.20503968906296863,0.4031402536621362,0.1089264713878112,0.5876520800882401,0.21316793004663329,0.4617011263215992,80.45124237629915,29.20420399061776,5.565502085682345e-5
strict_point_excluding_weak,wald,7,0.2944760324856386,0.22011953198210651,0.3816581096175281,0.13474847176031252,0.5280017016646349,0.21316793004663329,0.4617011263215992,80.45124237629915,29.20420399061776,5.565502085682345e-5
