model,measure,interval,k,estimate,ci_low,ci_high,p_value,tau2,I2,Q,Q_p
primary_k3_available_case,RR,knha,3,1.521490512313143,0.7182177085970151,3.2231638838047605,0.13793793585437714,2.5185743074773962e-6,0.005220611851606197,4.833158300744936,0.08922632582495449
primary_k3_available_case,RR,wald,3,1.521490512313143,1.2210611845043533,1.89583733267107,1.843873229177483e-4,2.5185743074773962e-6,0.005220611851606197,4.833158300744936,0.08922632582495449
primary_k3_available_case,OR,knha,3,3.5814714446298654,0.423879406426906,30.260818322890184,0.12371525283202807,0.22312717475469185,46.8068802685106,4.246519924380643,0.11964096705762572
primary_k3_available_case,OR,wald,3,3.5814714446298654,1.6296368082084012,7.87104073993081,0.001495593511587073,0.22312717475469185,46.8068802685106,4.246519924380643,0.11964096705762572
primary_k3_missing_not_employed,RR,knha,3,1.8042202326021544,0.33533450784349167,9.707353617332622,0.2703699122438585,0.19334061830052626,77.58208617510661,5.695692201765694,0.05796904598093147
primary_k3_missing_not_employed,RR,wald,3,1.8042202326021544,0.9831392354039894,3.3110372676697706,0.05677103818601676,0.19334061830052626,77.58208617510661,5.695692201765694,0.05796904598093147
sensitivity_k4_available_case,RR,knha,4,1.5600624104770908,0.9826948515674406,2.476653582443811,0.05489597545451742,5.022181903509917e-6,0.008504096012861338,5.4577120401326615,0.14118989748635022
sensitivity_k4_available_case,RR,wald,4,1.5600624104770908,1.2632498459951418,1.9266139095915242,3.62323064472508e-5,5.022181903509917e-6,0.008504096012861338,5.4577120401326615,0.14118989748635022
sensitivity_k4_missing_not_employed,RR,knha,4,1.8016630216695066,0.7807302397271297,4.157632788485036,0.11091600485613255,0.09286406088976869,57.424594326075564,6.978524239471735,0.07258543721613592
sensitivity_k4_missing_not_employed,RR,wald,4,1.8016630216695066,1.1828728066097716,2.744157804214486,0.0061015297629904855,0.09286406088976869,57.424594326075564,6.978524239471735,0.07258543721613592
