model,max_rhat,min_ess_bulk,min_ess_tail,divergences,max_treedepth,min_ebfmi,passes_gate,attempt_id
rc_trial_a33_k3_hn05,1.0006265045815903,3070.8792315411847,3403.6616016177104,0,7,0.7489946533679828,TRUE,1
rc_trial_a33_k3_hn025,1.0008917047937556,3858.713608718748,3798.5950981294595,0,6,0.847772714133539,TRUE,1
rc_trial_a33_k3_hn1,1.0007230266412128,2658.2748323955307,3366.633696101233,0,7,0.6767539524556904,TRUE,1
rc_trial_a33_k3_missing_hn05,1.0006053266407193,3825.338928085223,3730.004620362611,0,7,0.766953449178332,TRUE,1
rc_loo_trial_ERICKSON_2021,1.0010899579491708,3639.131206704086,3672.704262885764,0,6,0.8151434050145075,TRUE,1
rc_loo_trial_KILLACKEY_2008,1.0016207841359286,3044.3569010320693,3296.876600361708,0,7,0.8105122572403414,TRUE,1
rc_loo_trial_KILLACKEY_2019,1.0009883717512682,3774.5860904572532,3571.4874511899316,0,7,0.810779592425256,TRUE,1
rc_exact_binomial_a33_k3,1.000450822199428,4468.329960010382,3739.3064908747997,0,7,0.8560951976989908,TRUE,1
rc_bf_h0_hn05,1.0016134239865626,3036.280716573279,3574.0325063360115,0,6,0.6001847045168488,TRUE,1
rc_bf_h1_primary_log2,1.0017864596906307,2863.282860275262,3746.553266160221,0,7,0.6341956806630936,TRUE,1
rc_bf_h1_frederick_published,1.0009846218182474,2879.5244848348007,3631.184000920346,0,7,0.6518886564175802,TRUE,1
rc_bf_h1_bond2015,1.001895429490643,3393.7601791443103,3793.089896213837,0,7,0.660785715843742,TRUE,1
rc_bf_h1_bond2016,1.0023423286530992,3149.2292980214506,3731.5676537786203,0,7,0.6237885308517014,TRUE,1
rc_bf_h1_modini2016_ad999,1.0015937686358758,3019.7809530990044,3649.611910297639,0,7,0.6264804375122107,TRUE,2
