Model,Max R-hat,Min bulk ESS,Min tail ESS,Divergences,Max tree depth,Min E-BFMI,Gate
rc_a33_point_primary_hn1,1.001,2916,4291,0,7,0.79,pass
rc_a33_point_prior_hn05,1.001,3394,4370,0,7,0.81,pass
rc_a33_point_prior_hn2,1.002,2802,3151,0,8,0.74,pass
rc_a33_point_duration_sens_hn1,1.000,3029,3738,0,7,0.74,pass
rc_a33_period_hn1,1.001,3020,4137,0,8,0.78,pass
rc_a33_point_excl_weak_hn1,1.003,2771,3007,0,7,0.74,pass
rc_a33_point_missing_bound_hn1,1.001,2944,3815,0,8,0.75,pass
rc_a33_point_normal_normal_hn1,1.001,2904,3904,0,7,0.77,pass
rc_loo_prev_ABDELBAKI_2013,1.001,3231,3847,0,8,0.80,pass
rc_loo_prev_ANDERSEN_2024,1.001,3284,4245,0,7,0.81,pass
rc_loo_prev_CRAIG_2014,1.002,2502,4214,0,7,0.76,pass
rc_loo_prev_DUDLEY_2014,1.001,2705,3425,0,7,0.65,pass
rc_loo_prev_HEGELSTAD_2019,1.003,2613,3769,0,8,0.79,pass
rc_loo_prev_RINALDI_2010,1.003,3007,4328,0,7,0.75,pass
rc_trial_a33_k3_hn05,1.001,3071,3404,0,7,0.75,pass
rc_trial_a33_k3_hn025,1.001,3859,3799,0,6,0.85,pass
rc_trial_a33_k3_hn1,1.001,2658,3367,0,7,0.68,pass
rc_trial_a33_k3_missing_hn05,1.001,3825,3730,0,7,0.77,pass
rc_loo_trial_ERICKSON_2021,1.001,3639,3673,0,6,0.82,pass
rc_loo_trial_KILLACKEY_2008,1.002,3044,3297,0,7,0.81,pass
rc_loo_trial_KILLACKEY_2019,1.001,3775,3571,0,7,0.81,pass
rc_exact_binomial_a33_k3,1.000,4468,3739,0,7,0.86,pass
rc_bf_h0_hn05,1.002,3036,3574,0,6,0.60,pass
rc_bf_h1_primary_log2,1.002,2863,3747,0,7,0.63,pass
rc_bf_h1_frederick_published,1.001,2880,3631,0,7,0.65,pass
rc_bf_h1_bond2015,1.002,3394,3793,0,7,0.66,pass
rc_bf_h1_bond2016,1.002,3149,3732,0,7,0.62,pass
rc_bf_h1_modini2016_ad999,1.002,3020,3650,0,7,0.63,pass
