Study,Basis,Months,Events / n,PROSPERO v2.0 conflict,A33 decision,Membership
Abdel-Baki 2013,point,12,40 / 91,definite,eligible,A33 point-prevalence primary set
Andersen 2024,point,12,205 / 578,possible,eligible,A33 point-prevalence primary set
Chua 2019,point,24,829 / 1177,definite,eligible,No usable employment count: Composite includes students and homemakers; excluded from the paid-employment construct (A25)
Craig 2014,point,12,36 / 134,possible,eligible,A33 point-prevalence primary set
Dudley 2014,point,12,30 / 194,possible,eligible,A33 point-prevalence primary set
Eack 2011,point,24,17 / 46,definite,duration sensitivity,A33 duration sensitivity only (population duration criterion exceeds five years)
Erickson 2021,period,12,59 / 97,definite,eligible,Period measure: A33 period set only
Fowler 2019,period,24,5 / 44,definite,eligible,Period measure: A33 period set only
Hegelstad 2019,point,12,16 / 57,definite,eligible,A33 point-prevalence primary set
Humensky 2017,period,12,12 / 43,possible,eligible,No usable employment count: No counts recoverable from the report; no usable prevalence row
Killackey 2008,period,6,15 / 41,none,eligible,Period measure: A33 period set only
Killackey 2019,period,6,76 / 126,definite,eligible,Period measure: A33 period set only
Lin 2026,point,12,119 / 280,none,eligible,No usable employment count: 119 of 280 not found in the report; 280 is the 18-month completer count; no usable row (A5 exclusion also stands)
Major 2010,period,12,29 / 114,definite,eligible,Period measure: A33 period set only
Nuechterlein 2020,period,18,30 / 51,none,eligible,Period measure: A33 period set only
Pothier 2019,point,6,11 / 27,possible,eligible,No usable employment count: Composite of work and school; excluded from the paid-employment construct (A25)
Rinaldi 2004,point,12,9 / 22,possible,eligible,Cohort overlap (same service as a retained report): excluded from every pooled set
Rinaldi 2010,point,12,62 / 142,possible,eligible,A33 point-prevalence primary set
Rosenheck 2017,point,12,64 / 282,possible,eligible,"No usable employment count: Table 1 gives model-fitted means, not counts; no usable prevalence row"
Tapfumaneyi 2015,period,12,211 / 1013,definite,eligible,Period measure: A33 period set only
Turner 2019,period,18,21 / 34,possible,eligible,Variable follow-up: separately labelled analysis only
van Duin 2021,period,18,25 / 56,none,eligible,Period measure: A33 period set only
Williams 2016,point,6,2 / 11,definite,eligible,Sample selected on baseline employment: not a prevalence sample
