Model,k,Assessed,Pooled prevalence (95% CrI),Prediction interval,tau (95% CrI)
"A33 point prevalence, primary (tau ~ HN(1))",6,1196,31.8 (20.6 to 44.9),9.5 to 67.7,0.59 (0.30 to 1.24)
"Prior sensitivity, tau ~ HN(0.5)",6,1196,31.6 (22.4 to 43.2),11.8 to 62.2,0.52 (0.28 to 0.97)
"Prior sensitivity, tau ~ HN(2)",6,1196,31.8 (20.7 to 47.3),8.0 to 71.3,0.62 (0.31 to 1.50)
Duration sensitivity (adds onset within eight years),7,1242,32.3 (22.8 to 44.5),11.0 to 65.5,0.54 (0.29 to 1.12)
A33 period prevalence (secondary estimand),8,1542,38.5 (24.2 to 56.4),7.5 to 83.7,0.90 (0.54 to 1.60)
EPHPP Weak excluded,3,385,23.2 (13.3 to 45.5),6.1 to 66.4,0.50 (0.09 to 1.60)
Missing counted as not employed (lower bound),6,2256,24.6 (15.4 to 39.1),6.1 to 65.2,0.67 (0.37 to 1.39)
Normal-normal logit approximation,6,1196,32.0 (20.9 to 45.5),9.6 to 66.8,0.58 (0.30 to 1.25)
Strict registered rule (A24): point prevalence,0,NA,Not estimable (no eligible study),,
"Variable follow-up, unpooled: Turner 2019",1,34,"61.8 (45.0 to 76.6) (single study, Jeffreys interval)",,
