h1_scale_label,s,rr_scale,tau_scale,bf_random_effects,category
primary_log2,0.6931471805599453,2,0.25,14.184555071261267,H1
primary_log2,0.6931471805599453,2,0.5,6.411783119864335,H1
primary_log2,0.6931471805599453,2,1,3.9844617382086014,H1
frederick_published,0.4885800148186709,1.63,0.25,16.146144046021487,H1
frederick_published,0.4885800148186709,1.63,0.5,7.060945517569785,H1
frederick_published,0.4885800148186709,1.63,1,4.272317089982237,H1
bond2015,0.5247285289349821,1.69,0.25,15.893815193694817,H1
bond2015,0.5247285289349821,1.69,0.5,6.994646013994833,H1
bond2015,0.5247285289349821,1.69,1,4.251253638046188,H1
bond2016,0.6729444732424258,1.96,0.25,14.40620893100679,H1
bond2016,0.6729444732424258,1.96,0.5,6.493354474368314,H1
bond2016,0.6729444732424258,1.96,1,4.024725132970096,H1
modini2016,0.8754687373538999,2.4,0.25,12.275152276125205,H1
modini2016,0.8754687373538999,2.4,0.5,5.668679232294824,H1
modini2016,0.8754687373538999,2.4,1,3.597089603828873,H1
