s,bf,category
0.01,1.0549450809474035,insensitive
0.02,1.1162096019341405,insensitive
0.03,1.1850175353267252,insensitive
0.04,1.2628663698834497,insensitive
0.05,1.3515295683195172,insensitive
0.060000000000000005,1.453000976533255,insensitive
0.06999999999999999,1.5693590328289702,insensitive
0.08,1.7025487335765281,insensitive
0.09,1.854110221902718,insensitive
0.09999999999999999,2.0249100883433093,insensitive
0.11,2.2149394729022176,insensitive
0.12,2.4232266004152216,insensitive
0.13,2.6478788926159176,insensitive
0.14,2.886236562862149,insensitive
0.15000000000000002,3.135097922746322,H1
0.16,3.390970633107715,H1
0.17,3.6503097456052815,H1
0.18000000000000002,3.909716420898805,H1
0.19,4.166085007520054,H1
0.2,4.416697261577861,H1
0.21000000000000002,4.659269659350899,H1
0.22,4.891963272792561,H1
0.23,5.113366486641364,H1
0.24000000000000002,5.322459981520607,H1
0.25,5.518571749578774,H1
0.26,5.701328036161325,H1
0.27,5.87060435447955,H1
0.28,6.026479259837316,H1
0.29000000000000004,6.16919243908339,H1
0.3,6.299107848904608,H1
0.31,6.416682074023548,H1
0.32,6.522437716563054,H1
0.33,6.616941417797461,H1
0.34,6.70078600875773,H1
0.35000000000000003,6.774576251858292,H1
0.36000000000000004,6.838917645932262,H1
0.37,6.894407803296161,H1
0.38,6.9416299570282884,H1
0.39,6.981148211192773,H1
0.4,7.013504201055808,H1
0.41000000000000003,7.039214881375548,H1
0.42000000000000004,7.058771207020479,H1
0.43,7.072637510848708,H1
0.44,7.08125141891837,H1
0.45,7.085024172995174,H1
0.46,7.084341255455145,H1
0.47000000000000003,7.0795632326013145,H1
0.48000000000000004,7.071026749685405,H1
0.49,7.05904562508443,H1
0.5,7.043912002615983,H1
0.51,7.025897530316943,H1
0.52,7.0052545415339305,H1
0.53,6.9822172202009,H1
0.54,6.957002736980754,H1
0.55,6.929812346750729,H1
0.56,6.900832440903788,H1
0.5700000000000001,6.870235550276146,H1
0.5800000000000001,6.838181296321919,H1
0.59,6.804817289544251,H1
0.6,6.7702799752433425,H1
0.61,6.734695427424523,H1
0.62,6.698180092279933,H1
0.63,6.660841483060645,H1
0.64,6.622778828428277,H1
0.65,6.584083676545949,H1
0.66,6.54484045726047,H1
0.67,6.505127004760215,H1
0.68,6.465015043080507,H1
0.6900000000000001,6.424570636782551,H1
0.7000000000000001,6.383854609061994,H1
0.7100000000000001,6.342922929456649,H1
0.72,6.301827073224995,H1
0.73,6.260614354362622,H1
0.74,6.219328234115816,H1
0.75,6.178008606742662,H1
0.76,6.136692064164466,H1
0.77,6.095412141044923,H1
0.78,6.054199541732821,H1
0.79,6.013082350406476,H1
