Analysis,k,RR (95% CrI),Log RR mean (SD),Prediction interval,tau (95% CrI),P(RR > 1),P(RR > 1.25)
"Primary: IPS + TAU vs TAU, log RR, tau ~ HN(0.5)",3,1.59 (0.98 to 3.12),0.49 (0.28),0.60 to 5.20,0.25 (0.01 to 0.98),0.973,0.886
"Registered REML, Knapp-Hartung",3,1.52 (0.72 to 3.22) (CI),,,0.00 (REML),p = 0.138,
"Registered REML, Wald",3,1.52 (1.22 to 1.90) (CI),,,0.00 (REML),p < 0.001,
Prior sensitivity: tau ~ HN(0.25),3,1.55 (1.12 to 2.38),0.45 (0.18),0.90 to 3.07,0.14 (0.01 to 0.52),0.994,0.917
Prior sensitivity: tau ~ HN(1),3,1.61 (0.74 to 3.72),0.50 (0.37),0.30 to 9.61,0.42 (0.02 to 1.64),0.931,0.839
Leave out Erickson 2021,2,1.77 (0.83 to 4.33),0.60 (0.40),0.44 to 8.12,0.41 (0.02 to 1.14),0.946,0.859
Leave out Killackey 2008,2,1.44 (0.81 to 2.33),0.35 (0.25),0.55 to 3.44,0.19 (0.01 to 0.85),0.933,0.771
Leave out Killackey 2019,2,1.77 (0.83 to 4.37),0.60 (0.41),0.46 to 8.24,0.43 (0.03 to 1.15),0.946,0.857
Missing counted as not employed (randomised denominators),3,1.59 (0.96 to 3.10),0.49 (0.28),0.56 to 5.43,0.29 (0.01 to 0.99),0.968,0.871
Sensitivity: adds Nuechterlein 2020 (active vocational comparator),4,1.64 (1.14 to 2.80),0.51 (0.22),0.76 to 4.28,0.21 (0.01 to 0.83),0.991,0.940
"k = 4, missing counted as not employed",4,1.69 (1.12 to 3.02),0.55 (0.24),0.69 to 5.06,0.28 (0.01 to 0.90),0.990,0.938
"Exact binomial arm-level model, k = 3 (odds-ratio scale)",3,OR 3.09 (1.47 to 6.18),log OR 1.13 (0.36),RR at fixed control risk 43% (illustrative): 1.63 (1.23 to 1.92),0.33 (0.01 to 1.06),P(OR > 1) = 0.997,
